t,x_obs,y_obs,x_pred,y_pred,beta_pred,beta_true
0.000000e+00,3.894048e+01,9.598194e+00,3.990978e+01,1.106160e+01,2.029552e-02,2.000000e-02
5.025126e-03,4.538409e+01,8.824125e+00,4.278798e+01,1.092899e+01,2.029552e-02,2.000000e-02
1.005025e-02,4.807973e+01,8.454491e+00,4.587458e+01,1.091120e+01,2.029552e-02,2.000000e-02
1.507538e-02,5.012814e+01,8.527129e+00,4.918727e+01,1.098031e+01,2.029552e-02,2.000000e-02
2.010050e-02,5.510492e+01,9.458209e+00,5.272021e+01,1.112689e+01,2.029552e-02,2.000000e-02
2.512563e-02,5.957605e+01,9.206327e+00,5.645436e+01,1.135386e+01,2.029552e-02,2.000000e-02
3.015075e-02,6.537954e+01,8.565923e+00,6.036539e+01,1.167254e+01,2.029552e-02,2.000000e-02
3.517588e-02,7.047221e+01,9.976899e+00,6.442517e+01,1.210046e+01,2.029552e-02,2.000000e-02
4.020100e-02,7.674065e+01,9.671356e+00,6.859344e+01,1.265974e+01,2.029552e-02,2.000000e-02
4.522613e-02,8.123148e+01,1.076651e+01,7.280322e+01,1.337595e+01,2.029552e-02,2.000000e-02
5.025126e-02,8.728110e+01,1.230029e+01,7.695262e+01,1.427660e+01,2.029552e-02,2.000000e-02
5.527638e-02,9.428622e+01,1.284107e+01,8.091211e+01,1.538965e+01,2.029552e-02,2.000000e-02
6.030151e-02,9.777399e+01,1.388259e+01,8.453498e+01,1.674156e+01,2.029552e-02,2.000000e-02
6.532663e-02,1.022015e+02,1.669161e+01,8.765367e+01,1.835522e+01,2.029552e-02,2.000000e-02
7.035176e-02,1.066611e+02,1.959397e+01,9.007346e+01,2.024745e+01,2.029552e-02,2.000000e-02
7.537689e-02,1.085996e+02,2.256478e+01,9.159086e+01,2.242573e+01,2.029552e-02,2.000000e-02
8.040201e-02,1.081224e+02,2.656186e+01,9.203083e+01,2.488365e+01,2.029552e-02,2.000000e-02
8.542714e-02,1.076261e+02,3.062959e+01,9.126757e+01,2.759361e+01,2.029552e-02,2.000000e-02
9.045226e-02,1.050343e+02,3.411676e+01,8.923089e+01,3.049681e+01,2.029552e-02,2.000000e-02
9.547739e-02,9.562943e+01,3.939477e+01,8.593092e+01,3.349332e+01,2.029552e-02,2.000000e-02
1.005025e-01,8.815121e+01,4.356518e+01,8.149564e+01,3.643952e+01,2.029552e-02,2.000000e-02
1.055276e-01,8.296282e+01,4.777229e+01,7.617361e+01,3.916209e+01,2.029552e-02,2.000000e-02
1.105528e-01,7.066664e+01,5.179650e+01,7.028746e+01,4.148911e+01,2.029552e-02,2.000000e-02
1.155779e-01,6.242925e+01,5.309401e+01,6.417540e+01,4.328510e+01,2.029552e-02,2.000000e-02
1.206030e-01,5.434845e+01,5.498111e+01,5.814955e+01,4.447257e+01,2.029552e-02,2.000000e-02
1.256281e-01,4.575321e+01,5.418520e+01,5.246408e+01,4.503278e+01,2.029552e-02,2.000000e-02
1.306533e-01,4.024915e+01,5.308702e+01,4.728811e+01,4.499279e+01,2.029552e-02,2.000000e-02
1.356784e-01,3.418382e+01,5.080050e+01,4.270144e+01,4.441096e+01,2.029552e-02,2.000000e-02
1.407035e-01,3.089120e+01,4.905919e+01,3.872206e+01,4.336685e+01,2.029552e-02,2.000000e-02
1.457286e-01,2.721416e+01,4.681991e+01,3.533722e+01,4.195383e+01,2.029552e-02,2.000000e-02
1.507538e-01,2.399063e+01,4.406266e+01,3.251501e+01,4.027011e+01,2.029552e-02,2.000000e-02
1.557789e-01,2.248471e+01,4.098483e+01,3.020514e+01,3.840870e+01,2.029552e-02,2.000000e-02
1.608040e-01,1.977145e+01,3.773592e+01,2.834539e+01,3.644901e+01,2.029552e-02,2.000000e-02
1.658291e-01,1.955904e+01,3.550077e+01,2.687367e+01,3.445341e+01,2.029552e-02,2.000000e-02
