t,u_observed,u_pred,mu_pred,mu_true
0.000000e+00,2.057104e+00,2.000307e+00,9.875215e-01,1.000000e+00
2.506266e-03,1.951159e+00,1.998053e+00,9.875215e-01,1.000000e+00
5.012531e-03,1.949732e+00,1.991530e+00,9.875215e-01,1.000000e+00
7.518797e-03,1.953432e+00,1.981188e+00,9.875215e-01,1.000000e+00
1.002506e-02,1.947051e+00,1.967497e+00,9.875215e-01,1.000000e+00
1.253133e-02,1.874471e+00,1.950919e+00,9.875215e-01,1.000000e+00
1.503759e-02,1.852188e+00,1.931870e+00,9.875215e-01,1.000000e+00
1.754386e-02,1.895549e+00,1.910703e+00,9.875215e-01,1.000000e+00
2.005013e-02,1.851817e+00,1.887693e+00,9.875215e-01,1.000000e+00
2.255639e-02,1.860651e+00,1.863045e+00,9.875215e-01,1.000000e+00
2.506266e-02,1.782079e+00,1.836896e+00,9.875215e-01,1.000000e+00
2.756892e-02,1.690927e+00,1.809341e+00,9.875215e-01,1.000000e+00
3.007519e-02,1.800987e+00,1.780439e+00,9.875215e-01,1.000000e+00
3.258145e-02,1.774467e+00,1.750230e+00,9.875215e-01,1.000000e+00
3.508772e-02,1.698362e+00,1.718747e+00,9.875215e-01,1.000000e+00
3.759398e-02,1.651560e+00,1.686015e+00,9.875215e-01,1.000000e+00
4.010025e-02,1.652775e+00,1.652062e+00,9.875215e-01,1.000000e+00
4.260651e-02,1.561057e+00,1.616907e+00,9.875215e-01,1.000000e+00
4.511278e-02,1.461338e+00,1.580559e+00,9.875215e-01,1.000000e+00
4.761905e-02,1.461976e+00,1.543013e+00,9.875215e-01,1.000000e+00
5.012531e-02,1.567179e+00,1.504246e+00,9.875215e-01,1.000000e+00
5.263158e-02,1.471483e+00,1.464213e+00,9.875215e-01,1.000000e+00
5.513784e-02,1.349257e+00,1.422849e+00,9.875215e-01,1.000000e+00
5.764411e-02,1.350974e+00,1.380071e+00,9.875215e-01,1.000000e+00
6.015037e-02,1.377387e+00,1.335783e+00,9.875215e-01,1.000000e+00
6.265664e-02,1.247010e+00,1.289876e+00,9.875215e-01,1.000000e+00
6.516290e-02,1.256136e+00,1.242237e+00,9.875215e-01,1.000000e+00
6.766917e-02,1.164451e+00,1.192750e+00,9.875215e-01,1.000000e+00
7.017544e-02,1.097826e+00,1.141292e+00,9.875215e-01,1.000000e+00
7.268170e-02,1.083532e+00,1.087737e+00,9.875215e-01,1.000000e+00
7.518797e-02,1.019730e+00,1.031946e+00,9.875215e-01,1.000000e+00
7.769423e-02,1.027617e+00,9.737635e-01,9.875215e-01,1.000000e+00
8.020050e-02,8.156884e-01,9.130130e-01,9.875215e-01,1.000000e+00
8.270676e-02,8.605130e-01,8.494928e-01,9.875215e-01,1.000000e+00
8.521303e-02,7.279178e-01,7.829740e-01,9.875215e-01,1.000000e+00
8.771930e-02,6.899422e-01,7.132016e-01,9.875215e-01,1.000000e+00
9.022556e-02,7.019132e-01,6.399005e-01,9.875215e-01,1.000000e+00
9.273183e-02,6.256716e-01,5.627812e-01,9.875215e-01,1.000000e+00
9.523810e-02,5.432105e-01,4.815505e-01,9.875215e-01,1.000000e+00
9.774436e-02,3.238598e-01,3.959196e-01,9.875215e-01,1.000000e+00
1.002506e-01,3.067581e-01,3.056143e-01,9.875215e-01,1.000000e+00
1.027569e-01,2.181762e-01,2.103840e-01,9.875215e-01,1.000000e+00
1.052632e-01,4.116928e-02,1.100175e-01,9.875215e-01,1.000000e+00
1.077694e-01,9.069715e-02,4.362524e-03,9.875215e-01,1.000000e+00
1.102757e-01,-1.987291e-02,-1.066422e-01,9.875215e-01,1.000000e+00
1.127820e-01,-2.457170e-01,-2.229268e-01,9.875215e-01,1.000000e+00
1.152882e-01,-3.371588e-01,-3.442354e-01,9.875215e-01,1.000000e+00
1.177945e-01,-4.450374e-01,-4.700714e-01,9.875215e-01,1.000000e+00
1.203007e-01,-5.754648e-01,-5.996497e-01,9.875215e-01,1.000000e+00
1.228070e-01,-7.900487e-01,-7.318558e-01,9.875215e-01,1.000000e+00
1.253133e-01,-8.465493e-01,-8.652511e-01,9.875215e-01,1.000000e+00
1.278196e-01,-9.153139e-01,-9.981014e-01,9.875215e-01,1.000000e+00
1.303258e-01,-1.120645e+00,-1.128451e+00,9.875215e-01,1.000000e+00
1.328321e-01,-1.225178e+00,-1.254242e+00,9.875215e-01,1.000000e+00
1.353383e-01,-1.422480e+00,-1.373439e+00,9.875215e-01,1.000000e+00
1.378446e-01,-1.517087e+00,-1.484192e+00,9.875215e-01,1.000000e+00
1.403509e-01,-1.578873e+00,-1.584968e+00,9.875215e-01,1.000000e+00
1.428571e-01,-1.717206e+00,-1.674670e+00,9.875215e-01,1.000000e+00
1.453634e-01,-1.650044e+00,-1.752698e+00,9.875215e-01,1.000000e+00
1.478697e-01,-1.797497e+00,-1.818942e+00,9.875215e-01,1.000000e+00
1.503759e-01,-1.835392e+00,-1.873725e+00,9.875215e-01,1.000000e+00
1.528822e-01,-1.904726e+00,-1.917703e+00,9.875215e-01,1.000000e+00
1.553885e-01,-2.002682e+00,-1.951748e+00,9.875215e-01,1.000000e+00
1.578947e-01,-1.975486e+00,-1.976846e+00,9.875215e-01,1.000000e+00
1.604010e-01,-1.980959e+00,-1.994005e+00,9.875215e-01,1.000000e+00
1.629073e-01,-1.966992e+00,-2.004202e+00,9.875215e-01,1.000000e+00
1.654135e-01,-2.007643e+00,-2.008336e+00,9.875215e-01,1.000000e+00
1.679198e-01,-2.020198e+00,-2.007220e+00,9.875215e-01,1.000000e+00
1.704261e-01,-1.942091e+00,-2.001570e+00,9.875215e-01,1.000000e+00
1.729323e-01,-1.985311e+00,-1.992012e+00,9.875215e-01,1.000000e+00
1.754386e-01,-1.905581e+00,-1.979083e+00,9.875215e-01,1.000000e+00
1.779449e-01,-2.010607e+00,-1.963244e+00,9.875215e-01,1.000000e+00
1.804511e-01,-1.951945e+00,-1.944886e+00,9.875215e-01,1.000000e+00
1.829574e-01,-1.989199e+00,-1.924335e+00,9.875215e-01,1.000000e+00
1.854637e-01,-1.995531e+00,-1.901857e+00,9.875215e-01,1.000000e+00
1.879699e-01,-1.862306e+00,-1.877665e+00,9.875215e-01,1.000000e+00
1.904762e-01,-1.846180e+00,-1.851928e+00,9.875215e-01,1.000000e+00
1.929825e-01,-1.793099e+00,-1.824771e+00,9.875215e-01,1.000000e+00
1.954887e-01,-1.826740e+00,-1.796283e+00,9.875215e-01,1.000000e+00
1.979950e-01,-1.804423e+00,-1.766525e+00,9.875215e-01,1.000000e+00
2.005012e-01,-1.830285e+00,-1.735535e+00,9.875215e-01,1.000000e+00
2.030075e-01,-1.714692e+00,-1.703335e+00,9.875215e-01,1.000000e+00
2.055138e-01,-1.704059e+00,-1.669935e+00,9.875215e-01,1.000000e+00
2.080200e-01,-1.648576e+00,-1.635336e+00,9.875215e-01,1.000000e+00
2.105263e-01,-1.611457e+00,-1.599534e+00,9.875215e-01,1.000000e+00
