epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
,,,,,,0.0005,0
0,56.87277603149414,0.14443384110927582,0.05209414288401604,0.15191207826137543,56.66880798339844,,80
,,,,,,0.0005,81
1,0.012264993973076344,0.21496811509132385,0.0119175985455513,0.0001308851788053289,0.00021650771668646485,,161
,,,,,,0.0005,162
2,0.012148135341703892,0.2054501473903656,0.01189300138503313,4.7805046051507816e-05,0.00020732899429276586,,242
,,,,,,0.0005,243
3,0.012146665714681149,0.20367424190044403,0.011884059756994247,4.583120971801691e-05,0.00021677838230971247,,323
,,,,,,0.0005,324
4,0.012141818180680275,0.20154736936092377,0.011878738179802895,4.3817188270622864e-05,0.00021926534827798605,,404
,,,,,,0.0005,405
5,0.012133248150348663,0.19765408337116241,0.01186776626855135,4.245317177264951e-05,0.00022302816796582192,,485
,,,,,,0.0005,486
6,0.01211782731115818,0.191289022564888,0.011845695786178112,4.197910675429739e-05,0.0002301534841535613,,566
,,,,,,0.0005,567
7,0.012090005911886692,0.18384206295013428,0.011802435852587223,4.298783096601255e-05,0.0002445800928398967,,647
,,,,,,0.0005,648
8,0.012045224197208881,0.17840895056724548,0.011720067821443081,4.6283865231089294e-05,0.000278871797490865,,728
,,,,,,0.0005,729
9,0.011972058564424515,0.17458482086658478,0.011588605120778084,5.5703170801280066e-05,0.00032774810097180307,,809
,,,,,,0.0005,810
10,0.011828936636447906,0.1675279140472412,0.011336687952280045,9.384006989421323e-05,0.0003984127542935312,,890
,,,,,,0.0005,891
11,0.014731776900589466,0.1510826200246811,0.01083687786012888,0.0004641385457944125,0.0034307579044252634,,971
,,,,,,0.0005,972
12,0.01484539732336998,0.14102040231227875,0.010406212881207466,0.0006944560445845127,0.0037447300273925066,,1052
,,,,,,0.0005,1053
13,0.011022203601896763,0.14205783605575562,0.009951010346412659,0.0005266183870844543,0.0005445698625408113,,1133
,,,,,,0.0005,1134
14,0.010783180594444275,0.13893243670463562,0.009544089436531067,0.0006573557620868087,0.000581742322538048,,1214
,,,,,,0.0005,1215
15,0.011241269297897816,0.13601848483085632,0.009682782925665379,0.0007057518814690411,0.000852731172926724,,1295
,,,,,,0.0005,1296
16,0.010554091073572636,0.13476622104644775,0.009186926297843456,0.0008005931158550084,0.0005665724165737629,,1376
,,,,,,0.0005,1377
17,0.010398749262094498,0.13454842567443848,0.00925158429890871,0.0007558962679468095,0.00039126831688918173,,1457
,,,,,,0.0005,1458
18,0.010249841958284378,0.1349211186170578,0.009206941351294518,0.0007199804531410336,0.0003229191352147609,,1538
,,,,,,0.0005,1539
19,0.010205605067312717,0.1355520784854889,0.009185089729726315,0.0006982311606407166,0.00032228449708782136,,1619
,,,,,,0.0005,1620
20,0.01027597300708294,0.13506250083446503,0.00923552829772234,0.0006960919126868248,0.00034435943234711885,,1700
,,,,,,0.0005,1701
21,0.0101546049118042,0.13571882247924805,0.009147299453616142,0.0006773800705559552,0.00032992774504236877,,1781
,,,,,,0.0005,1782
