x,t,u_pred,u_true,error
0.000000e+00,0.000000e+00,-8.695540e-04,-1.692644e-02,1.605688e-02
0.000000e+00,2.040816e-02,-8.718190e-04,1.768015e-02,1.855197e-02
0.000000e+00,4.081633e-02,-8.761403e-04,-4.749808e-03,3.873667e-03
0.000000e+00,6.122449e-02,-8.803126e-04,-3.848434e-03,2.968122e-03
0.000000e+00,8.163265e-02,-8.865115e-04,1.585236e-02,1.673887e-02
0.000000e+00,1.020408e-01,-8.987007e-04,1.540752e-02,1.630622e-02
0.000000e+00,1.224490e-01,-9.216485e-04,6.936690e-03,7.858338e-03
0.000000e+00,1.428571e-01,-9.585735e-04,5.851613e-04,1.543735e-03
0.000000e+00,1.632653e-01,-1.010042e-03,-5.031299e-03,4.021257e-03
0.000000e+00,1.836735e-01,-1.073998e-03,6.404527e-03,7.478524e-03
0.000000e+00,2.040816e-01,-1.144868e-03,-3.652592e-03,2.507724e-03
0.000000e+00,2.244898e-01,-1.215917e-03,-1.123309e-03,9.260757e-05
0.000000e+00,2.448980e-01,-1.280051e-03,-1.705484e-03,4.254328e-04
0.000000e+00,2.653061e-01,-1.330507e-03,-1.422586e-02,1.289535e-02
0.000000e+00,2.857143e-01,-1.363110e-03,-1.014120e-02,8.778092e-03
0.000000e+00,3.061225e-01,-1.375657e-03,2.374473e-02,2.512039e-02
0.000000e+00,3.265306e-01,-1.368952e-03,5.229639e-03,6.598591e-03
0.000000e+00,3.469388e-01,-1.345676e-03,6.952871e-03,8.298547e-03
0.000000e+00,3.673469e-01,-1.309943e-03,1.230583e-03,2.540526e-03
0.000000e+00,3.877551e-01,-1.266908e-03,2.636217e-05,1.293270e-03
0.000000e+00,4.081632e-01,-1.222831e-03,4.676023e-03,5.898854e-03
0.000000e+00,4.285714e-01,-1.182598e-03,-9.631111e-04,2.194865e-04
0.000000e+00,4.489796e-01,-1.151454e-03,8.377641e-03,9.529095e-03
0.000000e+00,4.693877e-01,-1.132738e-03,-2.562181e-03,1.429443e-03
0.000000e+00,4.897959e-01,-1.128804e-03,1.260957e-02,1.373837e-02
0.000000e+00,5.102041e-01,-1.139265e-03,-1.246690e-03,1.074251e-04
0.000000e+00,5.306122e-01,-1.161676e-03,5.761015e-03,6.922692e-03
0.000000e+00,5.510204e-01,-1.191210e-03,1.373240e-02,1.492362e-02
0.000000e+00,5.714286e-01,-1.223129e-03,6.185155e-04,1.841644e-03
0.000000e+00,5.918368e-01,-1.251739e-03,-1.012393e-02,8.872189e-03
0.000000e+00,6.122449e-01,-1.272958e-03,1.030336e-02,1.157632e-02
0.000000e+00,6.326531e-01,-1.284641e-03,1.267578e-02,1.396042e-02
0.000000e+00,6.530612e-01,-1.287174e-03,-2.112758e-03,8.255844e-04
0.000000e+00,6.734694e-01,-1.282227e-03,1.359671e-02,1.487894e-02
0.000000e+00,6.938776e-01,-1.272005e-03,-2.183691e-02,2.056491e-02
0.000000e+00,7.142857e-01,-1.258623e-03,-1.305156e-02,1.179294e-02
0.000000e+00,7.346939e-01,-1.244318e-03,3.548961e-03,4.793279e-03
0.000000e+00,7.551020e-01,-1.231146e-03,-4.951056e-03,3.719910e-03
0.000000e+00,7.755102e-01,-1.221609e-03,-1.050743e-02,9.285819e-03
0.000000e+00,7.959183e-01,-1.219850e-03,-7.554663e-03,6.334813e-03
0.000000e+00,8.163266e-01,-1.230371e-03,1.061202e-02,1.184239e-02
0.000000e+00,8.367347e-01,-1.257431e-03,-1.109477e-02,9.837341e-03
0.000000e+00,8.571429e-01,-1.301837e-03,-2.486708e-03,1.184871e-03
0.000000e+00,8.775510e-01,-1.360070e-03,-8.189649e-04,5.411055e-04
0.000000e+00,8.979592e-01,-1.419794e-03,2.350971e-02,2.492950e-02
0.000000e+00,9.183673e-01,-1.460594e-03,-3.812573e-04,1.079336e-03
0.000000e+00,9.387755e-01,-1.450580e-03,-6.643908e-03,5.193328e-03
0.000000e+00,9.591837e-01,-1.352352e-03,4.927391e-03,6.279743e-03
0.000000e+00,9.795918e-01,-1.134944e-03,5.750275e-03,6.885218e-03
0.000000e+00,1.000000e+00,-7.997570e-04,1.555667e-02,1.635642e-02
2.040816e-02,0.000000e+00,6.316192e-02,8.004615e-02,1.688423e-02
2.040816e-02,2.040816e-02,6.302752e-02,6.306791e-02,4.038960e-05
2.040816e-02,4.081633e-02,6.263591e-02,7.071581e-02,8.079901e-03
2.040816e-02,6.122449e-02,6.198852e-02,8.423559e-02,2.224707e-02
2.040816e-02,8.163265e-02,6.108375e-02,6.028489e-02,7.988662e-04
2.040816e-02,1.020408e-01,5.991994e-02,5.815692e-02,1.763027e-03
2.040816e-02,1.224490e-01,5.849661e-02,5.648402e-02,2.012588e-03
