epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
,,,,,,0.0005,0
0,1437.43505859375,4.474391937255859,0.35966646671295166,1427.4696044921875,9.605803489685059,,43
,,,,,,0.0005,44
1,1026.8826904296875,2.091466188430786,0.298340380191803,1026.1612548828125,0.4233734905719757,,87
,,,,,,0.0005,88
2,915.7008666992188,0.20596370100975037,0.2967444360256195,915.3246459960938,0.079457126557827,,131
,,,,,,0.0005,132
3,839.99951171875,0.0537048801779747,0.29656562209129333,839.6719970703125,0.03114553913474083,,175
,,,,,,0.0005,176
4,772.8477172851562,0.04532398283481598,0.29660892486572266,772.5297241210938,0.021468425169587135,,219
,,,,,,0.0005,220
5,710.9464111328125,0.04867919534444809,0.2966788411140442,710.63330078125,0.01640354096889496,,263
,,,,,,0.0005,264
6,653.0277709960938,0.052847329527139664,0.29674848914146423,652.7183227539062,0.012729323469102383,,307
,,,,,,0.0005,308
7,598.4607543945312,0.057167429476976395,0.2968151271343231,598.1538696289062,0.009997114539146423,,351
,,,,,,0.0005,352
8,546.88134765625,0.06136466935276985,0.2968780994415283,546.5767211914062,0.007946495898067951,,395
,,,,,,0.0005,396
9,498.06097412109375,0.0653226301074028,0.2969368100166321,497.7577209472656,0.006390155293047428,,439
,,,,,,0.0005,440
10,451.8444519042969,0.06900326162576675,0.29699140787124634,451.5421447753906,0.005194441881030798,,483
,,,,,,0.0005,484
11,408.1226501464844,0.0724029690027237,0.2970418632030487,407.82135009765625,0.004264392424374819,,527
,,,,,,0.0005,528
12,366.8150634765625,0.07553359866142273,0.29708850383758545,366.5143127441406,0.0035322632174938917,,571
,,,,,,0.0005,572
13,327.8605651855469,0.0784134566783905,0.29713159799575806,327.5605163574219,0.0029493237379938364,,615
,,,,,,0.0005,616
14,291.2120361328125,0.08106283098459244,0.29717159271240234,290.91241455078125,0.0024801583494991064,,659
,,,,,,0.0005,660
15,256.8317565917969,0.08350188285112381,0.2972085773944855,256.532470703125,0.0020987389143556356,,703
,,,,,,0.0005,704
16,224.68939208984375,0.08574952930212021,0.29724299907684326,224.3903350830078,0.0017857089405879378,,747
,,,,,,0.0005,748
17,194.7599639892578,0.0878230407834053,0.29727521538734436,194.4611358642578,0.0015265210531651974,,791
