epoch,loss,loss/bc_left,loss/bc_right,loss/data,loss/ic,loss/pde_residual,loss/smma,lr,step
,,,,,,,,0.001,0
0,0.05950167402625084,0.006944851018488407,0.007995625957846642,0.0044799973256886005,0.013947811909019947,0.026133447885513306,,,1249
,,,,,,,,0.001,1250
1,0.006872517988085747,0.001402754453010857,0.0012475739931687713,0.0016316596884280443,0.0013223742134869099,0.0012681656517088413,,,2499
,,,,,,,,0.001,2500
2,0.005761016625910997,0.0011105898302048445,0.0010246771853417158,0.001545879989862442,0.0011715340660884976,0.0009083350305445492,,,3749
,,,,,,,,0.001,3750
3,0.0037921597249805927,0.0006802915595471859,0.0006231022998690605,0.0011494590435177088,0.0006909326184540987,0.0006483765318989754,,,4999
,,,,,,,,0.001,5000
4,0.0033866900485008955,0.0006069087539799511,0.0005726952222175896,0.0011320459889248013,0.0005631709937006235,0.0005118706612847745,,,6249
,,,,,,,,0.001,6250
5,0.003146145259961486,0.0005364517564885318,0.0004971917951479554,0.0010451835114508867,0.0005640225135721266,0.0005032952758483589,,,7499
,,,,,,,,0.001,7500
6,0.0028234031051397324,0.00043712800834327936,0.0004094004980288446,0.0010296381078660488,0.0005419740919023752,0.0004052625736221671,,,8749
,,,,,,,,0.001,8750
7,0.002711949637159705,0.00045428742305375636,0.00041994857019744813,0.0010222631972283125,0.00044669280759990215,0.00036875883233733475,,,9999
,,,,,,,,0.001,10000
8,0.002382093109190464,0.0003703254333231598,0.000354524003341794,0.0009432391379959881,0.00038217028486542404,0.0003318341332487762,,,11249
,,,,,,,,0.001,11250
9,0.0020147557370364666,0.0002808823774103075,0.00025932033895514905,0.0008708056411705911,0.00031491255504079163,0.00028883054619655013,,,12499
,,,,,,,,0.001,12500
10,0.0021448032930493355,0.0003146094677504152,0.00027519045397639275,0.0009131314000114799,0.0003572873247321695,0.0002845833369065076,,,13749
,,,,,,,,0.001,13750
11,0.0017995353555306792,0.00023039570078253746,0.00021360012760851532,0.0008156219264492393,0.0002927430614363402,0.00024717452470213175,,,14999
,,,,,,,,0.001,15000
12,0.0017182781593874097,0.0002098415861837566,0.00019172824977431446,0.0007939890492707491,0.0002842708199750632,0.0002384484832873568,,,16249
,,,,,,,,0.001,16250
13,0.001673322287388146,0.0001972174650290981,0.00018674500461202115,0.000795403029769659,0.00026277569122612476,0.0002311808057129383,,,17499
,,,,,,,,0.001,17500
14,0.0016872781561687589,0.00019814883125945926,0.0001774778647813946,0.0008053475175984204,0.0002859439409803599,0.0002203600888606161,,,18749
,,,,,,,,0.001,18750
15,0.001580870826728642,0.00017428380670025945,0.00016091641737148166,0.0007765284390188754,0.000256238563451916,0.00021290360018610954,,,19999
,,,,,,,,0.001,20000
16,0.0015833702636882663,0.000180619113962166,0.0001644999865675345,0.0007748938514851034,0.0002526288153603673,0.00021072998060844839,,,21249
,,,,,,,,0.001,21250
17,0.0015079360455274582,0.0001641197013668716,0.00015013224037829787,0.0007570671150460839,0.00023426272673532367,0.000202354189241305,,,22499
,,,,,,,,0.001,22500
18,0.0015097743598744273,0.00016448173846583813,0.00015076188719831407,0.0007553423056378961,0.0002423195110168308,0.0001968692959053442,,,23749
,,,,,,,,0.001,23750
19,0.0015783663839101791,0.0001964193652383983,0.00017596260295249522,0.0007866910891607404,0.0002271750709041953,0.00019211754261050373,,,24999
,,,,,,,,0.001,25000
20,0.0014560749987140298,0.00015142990741878748,0.000137168332003057,0.0007449668482877314,0.00022804389300290495,0.00019446664373390377,,,26249
,,,,,,,,0.001,26250
21,0.0014569107443094254,0.00015784638526383787,0.00014026874850969762,0.000745645840652287,0.00022802742023486644,0.000185121622052975,,,27499
,,,,,,,,0.001,27500
22,0.0014077970990911126,0.0001469960989197716,0.00013054232113063335,0.0007351554813794792,0.00021298266074154526,0.0001821222249418497,0.0053254105150699615,,28749
,,,,,,,,0.001,28750
23,0.0014198815915733576,0.00014893962361384183,0.0001288047496927902,0.0007398194866254926,0.00021824961004313082,0.00018406800518278033,0.005130134057253599,,29999
,,,,,,,,0.001,30000
24,0.0013922014040872455,0.00014183708117343485,0.00012410274939611554,0.000736905902158469,0.00021139290765859187,0.0001779627928044647,0.004943237639963627,,31249
,,,,,,,,0.001,31250
25,0.0013617811491712928,0.0001346262579318136,0.00012015605898341164,0.000730925879906863,0.00020641573064494878,0.0001696570689091459,0.004764164797961712,,32499
,,,,,,,,0.001,32500
26,0.0013969544088467956,0.0001485568209318444,0.000129102380014956,0.0007433840655721724,0.00020726716320496053,0.0001686421746853739,0.004595804028213024,,33749
,,,,,,,,0.001,33750
27,0.0013604240957647562,0.0001425035879947245,0.0001230419147759676,0.0007311378722079098,0.00019827696087304503,0.00016546390543226153,0.004434035159647465,,34999
,,,,,,,,0.001,35000
28,0.0013495685998350382,0.00013872431009076536,0.00012320149107836187,0.0007285939645953476,0.0001954100007424131,0.00016363926988560706,0.00427981186658144,,36249
,,,,,,,,0.001,36250
29,0.001331344828940928,0.0001320651062997058,0.00011534545774338767,0.000724483747035265,0.00019489687110763043,0.00016455368313472718,0.00413238862529397,,37499
,,,,,,,,0.001,37500
30,0.0012971180258318782,0.00012561299081426114,0.00011019412340829149,0.0007169863674789667,0.00018466298934072256,0.00015966204227879643,0.0039906250312924385,,38749
,,,,,,,,0.001,38750
31,0.0012823301367461681,0.00011953196371905506,0.0001059649366652593,0.000714760972186923,0.00018175311561208218,0.0001603180426172912,0.0038552102632820606,,39999
,,,,,,,,0.001,40000
32,0.0012545293429866433,0.00011064678255934268,0.00010111911251442507,0.000707124883774668,0.00017729410319589078,0.00015834633086342365,0.0037251762114465237,,41249
,,,,,,,,0.001,41250
