epoch,loss,loss/bc_bottom,loss/bc_left,loss/bc_right,loss/bc_top,loss/pde_residual,lr,step
,,,,,,,0.001,0
0,1.7738127708435059,0.07142221182584763,0.09546304494142532,0.08749944716691971,0.06540191918611526,1.4540257453918457,,449
,,,,,,,0.001,450
1,0.10985741019248962,0.0023080743849277496,0.0025755048263818026,0.002233093837276101,0.001995970495045185,0.10074479877948761,,899
,,,,,,,0.001,900
2,0.08244200795888901,0.002306038746610284,0.0024738735519349575,0.002349276328459382,0.0024239588528871536,0.07288888841867447,,1349
,,,,,,,0.001,1350
3,0.0627334788441658,0.0019112476147711277,0.002282612258568406,0.0021539495792239904,0.001909291255287826,0.054476410150527954,,1799
,,,,,,,0.001,1800
4,0.050063442438840866,0.001669340650551021,0.0017973523354157805,0.0017263381741940975,0.0017520097317174077,0.0431184247136116,,2249
,,,,,,,0.001,2250
5,0.04802689701318741,0.0015190981794148684,0.0017623895546421409,0.0016229072352871299,0.0015997590962797403,0.041522782295942307,,2699
,,,,,,,0.001,2700
6,0.045762911438941956,0.001597664668224752,0.0017073249910026789,0.0016127686249092221,0.001650325022637844,0.03919486328959465,,3149
,,,,,,,0.001,3150
7,0.04383377358317375,0.0016069142147898674,0.001777956262230873,0.0017742501804605126,0.001714005833491683,0.0369606539607048,,3599
,,,,,,,0.001,3600
8,0.03603826463222504,0.001464415923692286,0.0015781318070366979,0.001528767985291779,0.0014595405664294958,0.03000742755830288,,4049
,,,,,,,0.001,4050
9,0.03945324942469597,0.001713781850412488,0.0018348009325563908,0.0017490960890427232,0.0017270592506974936,0.03242853283882141,,4499
,,,,,,,0.001,4500
10,0.03457409143447876,0.0015140445902943611,0.0016522936057299376,0.001615832094103098,0.0015718154609203339,0.028220100328326225,,4949
,,,,,,,0.001,4950
11,0.03237472474575043,0.0013800198212265968,0.0014334088191390038,0.0014013919280841947,0.0014350403798744082,0.02672487311065197,,5399
,,,,,,,0.001,5400
12,0.03257947787642479,0.0012672636657953262,0.0012846889439970255,0.0013476340100169182,0.0013118943898007274,0.027367977425456047,,5849
,,,,,,,0.001,5850
13,0.03718804195523262,0.0011779012857005,0.001264479709789157,0.001292412867769599,0.0011868071742355824,0.03226644545793533,,6299
,,,,,,,0.001,6300
14,0.03422683849930763,0.001157992403022945,0.001350030885078013,0.0012826456222683191,0.0012009929632768035,0.02923518419265747,,6749
,,,,,,,0.001,6750
15,0.032731059938669205,0.0014220759039744735,0.0014808177947998047,0.0014276531292125583,0.0014769405825063586,0.026923542842268944,,7199
,,,,,,,0.001,7200
16,0.03237296640872955,0.0014212409732863307,0.001496148994192481,0.0014430631417781115,0.0014792081201449037,0.02653329074382782,,7649
,,,,,,,0.001,7650
17,0.030329817906022072,0.0010695301461964846,0.0010987533023580909,0.0010894255246967077,0.0010832337429746985,0.025988880544900894,,8099
,,,,,,,0.001,8100
18,0.02764035575091839,0.0011865509441122413,0.001260249875485897,0.0012228006962686777,0.0012294672196730971,0.022741282358765602,,8549
,,,,,,,0.001,8550
19,0.024763768538832664,0.0010952918091788888,0.001148517825640738,0.0011025540297850966,0.0011110177729278803,0.020306406542658806,,8999
,,,,,,,0.001,9000
20,0.028632020577788353,0.0013436498120427132,0.0014249352971091866,0.0014207891654223204,0.001390415127389133,0.02305222861468792,,9449
,,,,,,,0.001,9450
21,0.02678900957107544,0.0012367588933557272,0.0013110368745401502,0.0012936550192534924,0.0012764140265062451,0.021671142429113388,,9899
,,,,,,,0.001,9900
22,0.031984567642211914,0.002032463438808918,0.002034964505583048,0.002059760270640254,0.0021459858398884535,0.023711392655968666,,10349
,,,,,,,0.001,10350
23,0.02899034693837166,0.0014116414822638035,0.0014352834550663829,0.0014508434105664492,0.0014345645904541016,0.023258009925484657,,10799
,,,,,,,0.001,10800
24,0.024057330563664436,0.001192609197460115,0.0012652131263166666,0.0012692931341007352,0.0012549507664516568,0.01907527446746826,,11249
,,,,,,,0.001,11250
25,0.02526969462633133,0.0015007308684289455,0.0015700439689680934,0.0015892644878476858,0.0015511634992435575,0.019058484584093094,,11699
,,,,,,,0.001,11700
26,0.030486110597848892,0.0015230521094053984,0.0016049680998548865,0.0016190900932997465,0.0015393380308523774,0.024199679493904114,,12149
,,,,,,,0.001,12150
27,0.023631896823644638,0.001402192167006433,0.0014865979319438338,0.0015038567362353206,0.001459817518480122,0.017779432237148285,,12599
,,,,,,,0.001,12600
28,0.024665551260113716,0.001535302260890603,0.0016503301449120045,0.0016523618251085281,0.0016173581825569272,0.018210208043456078,,13049
,,,,,,,0.001,13050
29,0.026343977078795433,0.0015016788383945823,0.0015919433208182454,0.0016268865438178182,0.0015684128738939762,0.02005505934357643,,13499
,,,,,,,0.001,13500
