x,t,u_pred,u_true,error
0.000000e+00,0.000000e+00,-2.233088e-04,0.000000e+00,2.233088e-04
0.000000e+00,2.040816e-02,-1.975000e-04,0.000000e+00,1.975000e-04
0.000000e+00,4.081633e-02,-1.517236e-04,0.000000e+00,1.517236e-04
0.000000e+00,6.122449e-02,-1.052916e-04,0.000000e+00,1.052916e-04
0.000000e+00,8.163265e-02,-7.140636e-05,0.000000e+00,7.140636e-05
0.000000e+00,1.020408e-01,-5.540252e-05,0.000000e+00,5.540252e-05
0.000000e+00,1.224490e-01,-5.561113e-05,0.000000e+00,5.561113e-05
0.000000e+00,1.428571e-01,-6.556511e-05,0.000000e+00,6.556511e-05
0.000000e+00,1.632653e-01,-7.688999e-05,0.000000e+00,7.688999e-05
0.000000e+00,1.836735e-01,-8.195639e-05,0.000000e+00,8.195639e-05
0.000000e+00,2.040816e-01,-7.531047e-05,0.000000e+00,7.531047e-05
0.000000e+00,2.244898e-01,-5.435944e-05,0.000000e+00,5.435944e-05
0.000000e+00,2.448980e-01,-1.946092e-05,0.000000e+00,1.946092e-05
0.000000e+00,2.653061e-01,2.664328e-05,0.000000e+00,2.664328e-05
0.000000e+00,2.857143e-01,7.992983e-05,0.000000e+00,7.992983e-05
0.000000e+00,3.061225e-01,1.357794e-04,0.000000e+00,1.357794e-04
0.000000e+00,3.265306e-01,1.899898e-04,0.000000e+00,1.899898e-04
0.000000e+00,3.469388e-01,2.390146e-04,0.000000e+00,2.390146e-04
0.000000e+00,3.673469e-01,2.803504e-04,0.000000e+00,2.803504e-04
0.000000e+00,3.877551e-01,3.125966e-04,0.000000e+00,3.125966e-04
0.000000e+00,4.081632e-01,3.350079e-04,0.000000e+00,3.350079e-04
0.000000e+00,4.285714e-01,3.476739e-04,0.000000e+00,3.476739e-04
0.000000e+00,4.489796e-01,3.513992e-04,0.000000e+00,3.513992e-04
0.000000e+00,4.693877e-01,3.473461e-04,0.000000e+00,3.473461e-04
0.000000e+00,4.897959e-01,3.369153e-04,0.000000e+00,3.369153e-04
0.000000e+00,5.102041e-01,3.220737e-04,0.000000e+00,3.220737e-04
0.000000e+00,5.306122e-01,3.048778e-04,0.000000e+00,3.048778e-04
0.000000e+00,5.510204e-01,2.872348e-04,0.000000e+00,2.872348e-04
0.000000e+00,5.714286e-01,2.715290e-04,0.000000e+00,2.715290e-04
0.000000e+00,5.918368e-01,2.595186e-04,0.000000e+00,2.595186e-04
0.000000e+00,6.122449e-01,2.529919e-04,0.000000e+00,2.529919e-04
0.000000e+00,6.326531e-01,2.530217e-04,0.000000e+00,2.530217e-04
0.000000e+00,6.530612e-01,2.602339e-04,0.000000e+00,2.602339e-04
