x,t,u_pred,u_true,error
-1.000000e+00,0.000000e+00,8.908860e-01,9.999986e-01,1.091126e-01
-1.000000e+00,2.040816e-02,-3.208097e-02,1.589300e-01,1.910110e-01
-1.000000e+00,4.081633e-02,-3.148801e-02,1.120163e-01,1.435043e-01
-1.000000e+00,6.122449e-02,-3.201468e-02,9.186915e-02,1.238838e-01
-1.000000e+00,8.163265e-02,-3.263314e-02,8.005724e-02,1.126904e-01
-1.000000e+00,1.020408e-01,-3.310972e-02,7.209967e-02,1.052094e-01
-1.000000e+00,1.224490e-01,-3.349506e-02,6.629215e-02,9.978722e-02
-1.000000e+00,1.428571e-01,-3.380391e-02,6.182646e-02,9.563036e-02
-1.000000e+00,1.632653e-01,-3.401355e-02,5.826364e-02,9.227720e-02
-1.000000e+00,1.836735e-01,-3.409460e-02,5.534218e-02,8.943677e-02
-1.000000e+00,2.040816e-01,-3.402630e-02,5.289533e-02,8.692162e-02
-1.000000e+00,2.244898e-01,-3.380516e-02,5.081114e-02,8.461630e-02
-1.000000e+00,2.448980e-01,-3.345359e-02,4.901130e-02,8.246490e-02
-1.000000e+00,2.653061e-01,-3.302026e-02,4.743921e-02,8.045948e-02
-1.000000e+00,2.857143e-01,-3.256864e-02,4.605277e-02,7.862142e-02
-1.000000e+00,3.061225e-01,-3.215636e-02,4.481998e-02,7.697634e-02
-1.000000e+00,3.265306e-01,-3.182070e-02,4.371600e-02,7.553671e-02
-1.000000e+00,3.469388e-01,-3.157976e-02,4.272148e-02,7.430124e-02
-1.000000e+00,3.673469e-01,-3.144291e-02,4.182051e-02,7.326342e-02
-1.000000e+00,3.877551e-01,-3.141360e-02,4.100027e-02,7.241386e-02
-1.000000e+00,4.081632e-01,-3.148178e-02,4.025030e-02,7.173207e-02
-1.000000e+00,4.285714e-01,-3.161980e-02,3.956193e-02,7.118173e-02
-1.000000e+00,4.489796e-01,-3.179086e-02,3.892793e-02,7.071878e-02
-1.000000e+00,4.693877e-01,-3.196095e-02,3.834214e-02,7.030310e-02
-1.000000e+00,4.897959e-01,-3.210368e-02,3.779936e-02,6.990305e-02
-1.000000e+00,5.102041e-01,-3.220224e-02,3.729512e-02,6.949736e-02
-1.000000e+00,5.306122e-01,-3.225237e-02,3.682555e-02,6.907792e-02
-1.000000e+00,5.510204e-01,-3.226214e-02,3.638731e-02,6.864944e-02
-1.000000e+00,5.714286e-01,-3.225001e-02,3.597748e-02,6.822748e-02
-1.000000e+00,5.918368e-01,-3.223785e-02,3.559349e-02,6.783134e-02
-1.000000e+00,6.122449e-01,-3.224305e-02,3.523310e-02,6.747615e-02
-1.000000e+00,6.326531e-01,-3.227374e-02,3.489430e-02,6.716803e-02
-1.000000e+00,6.530612e-01,-3.232669e-02,3.457532e-02,6.690200e-02
-1.000000e+00,6.734694e-01,-3.239023e-02,3.427460e-02,6.666483e-02
-1.000000e+00,6.938776e-01,-3.244757e-02,3.399074e-02,6.643832e-02
-1.000000e+00,7.142857e-01,-3.248226e-02,3.372243e-02,6.620470e-02
-1.000000e+00,7.346939e-01,-3.248461e-02,3.346852e-02,6.595314e-02
-1.000000e+00,7.551020e-01,-3.245961e-02,3.322798e-02,6.568759e-02
-1.000000e+00,7.755102e-01,-3.243529e-02,3.299988e-02,6.543517e-02
-1.000000e+00,7.959183e-01,-3.246463e-02,3.278336e-02,6.524800e-02
-1.000000e+00,8.163266e-01,-3.260129e-02,3.257765e-02,6.517895e-02
-1.000000e+00,8.367347e-01,-3.283675e-02,3.238204e-02,6.521879e-02
-1.000000e+00,8.571429e-01,-3.306051e-02,3.219590e-02,6.525640e-02
-1.000000e+00,8.775510e-01,-3.312432e-02,3.201861e-02,6.514293e-02
-1.000000e+00,8.979592e-01,-3.296728e-02,3.184965e-02,6.481692e-02
-1.000000e+00,9.183673e-01,-3.266595e-02,3.168850e-02,6.435445e-02
-1.000000e+00,9.387755e-01,-3.234475e-02,3.153471e-02,6.387946e-02
