x,t,u_pred,u_true,error
-1.000000e+00,0.000000e+00,5.948860e-04,-9.460940e-03,1.005583e-02
-1.000000e+00,2.040816e-02,2.417583e-04,-6.979443e-03,7.221201e-03
-1.000000e+00,4.081633e-02,1.442619e-05,-2.603619e-03,2.618046e-03
-1.000000e+00,6.122449e-02,-1.314860e-04,-5.393271e-04,4.078411e-04
-1.000000e+00,8.163265e-02,-2.226215e-04,-1.025579e-03,8.029573e-04
-1.000000e+00,1.020408e-01,-2.761167e-04,3.798126e-03,4.074243e-03
-1.000000e+00,1.224490e-01,-3.035944e-04,-5.441776e-03,5.138182e-03
-1.000000e+00,1.428571e-01,-3.131013e-04,1.300368e-02,1.331678e-02
-1.000000e+00,1.632653e-01,-3.106873e-04,2.225908e-03,2.536596e-03
-1.000000e+00,1.836735e-01,-3.008824e-04,1.203828e-02,1.233916e-02
-1.000000e+00,2.040816e-01,-2.873223e-04,-1.323993e-02,1.295261e-02
-1.000000e+00,2.244898e-01,-2.728980e-04,-7.788009e-03,7.515111e-03
-1.000000e+00,2.448980e-01,-2.598744e-04,2.658611e-03,2.918486e-03
-1.000000e+00,2.653061e-01,-2.499204e-04,8.714285e-03,8.964205e-03
-1.000000e+00,2.857143e-01,-2.443772e-04,1.207552e-02,1.231990e-02
-1.000000e+00,3.061225e-01,-2.440196e-04,9.223386e-03,9.467405e-03
-1.000000e+00,3.265306e-01,-2.492052e-04,-1.075456e-03,8.262508e-04
-1.000000e+00,3.469388e-01,-2.599936e-04,1.485426e-02,1.511425e-02
-1.000000e+00,3.673469e-01,-2.759378e-04,-1.235611e-02,1.208017e-02
-1.000000e+00,3.877551e-01,-2.964716e-04,-7.431481e-03,7.135009e-03
-1.000000e+00,4.081632e-01,-3.208201e-04,-8.310390e-03,7.989570e-03
-1.000000e+00,4.285714e-01,-3.479701e-04,5.681621e-03,6.029591e-03
-1.000000e+00,4.489796e-01,-3.770571e-04,-6.017139e-03,5.640082e-03
-1.000000e+00,4.693877e-01,-4.070681e-04,4.424015e-03,4.831083e-03
-1.000000e+00,4.897959e-01,-4.371684e-04,-6.722664e-03,6.285496e-03
-1.000000e+00,5.102041e-01,-4.665237e-04,-9.831599e-03,9.365075e-03
-1.000000e+00,5.306122e-01,-4.945975e-04,4.356056e-03,4.850653e-03
-1.000000e+00,5.510204e-01,-5.208235e-04,1.427369e-02,1.479452e-02
-1.000000e+00,5.714286e-01,-5.448740e-04,-2.555883e-02,2.501396e-02
-1.000000e+00,5.918368e-01,-5.664807e-04,-2.206423e-02,2.149775e-02
-1.000000e+00,6.122449e-01,-5.855244e-04,1.679061e-03,2.264586e-03
-1.000000e+00,6.326531e-01,-6.018858e-04,1.136858e-02,1.197046e-02
-1.000000e+00,6.530612e-01,-6.156545e-04,-6.206402e-03,5.590748e-03
-1.000000e+00,6.734694e-01,-6.269198e-04,6.697902e-03,7.324822e-03
-1.000000e+00,6.938776e-01,-6.357413e-04,-3.103382e-03,2.467641e-03
-1.000000e+00,7.142857e-01,-6.423574e-04,9.257201e-03,9.899558e-03
-1.000000e+00,7.346939e-01,-6.468575e-04,-6.848188e-03,6.201331e-03
-1.000000e+00,7.551020e-01,-6.494503e-04,1.743999e-02,1.808945e-02
-1.000000e+00,7.755102e-01,-6.502550e-04,4.130958e-03,4.781213e-03
-1.000000e+00,7.959183e-01,-6.495100e-04,9.306158e-03,9.955668e-03
-1.000000e+00,8.163266e-01,-6.473642e-04,1.516720e-02,1.581456e-02
-1.000000e+00,8.367347e-01,-6.439369e-04,-1.229908e-03,5.859712e-04
-1.000000e+00,8.571429e-01,-6.393474e-04,3.504741e-03,4.144089e-03
-1.000000e+00,8.775510e-01,-6.338339e-04,5.924209e-04,1.226255e-03
-1.000000e+00,8.979592e-01,-6.274562e-04,-5.108000e-03,4.480544e-03
-1.000000e+00,9.183673e-01,-6.204229e-04,-1.636254e-03,1.015831e-03
-1.000000e+00,9.387755e-01,-6.127935e-04,-2.796911e-03,2.184118e-03
-1.000000e+00,9.591837e-01,-6.047469e-04,-1.149076e-02,1.088602e-02
-1.000000e+00,9.795918e-01,-5.964618e-04,1.740302e-03,2.336764e-03
-1.000000e+00,1.000000e+00,-5.879980e-04,-1.457923e-02,1.399123e-02
-9.591837e-01,0.000000e+00,1.260934e-01,1.388950e-01,1.280163e-02
-9.591837e-01,2.040816e-02,1.159435e-01,1.072862e-01,8.657232e-03
-9.591837e-01,4.081633e-02,1.078128e-01,1.063275e-01,1.485318e-03
