x,y,t,u_pred,u_true,v_pred,v_true
0.000000e+00,0.000000e+00,0.000000e+00,9.997035e-01,1.000000e+00,9.352835e-04,0.000000e+00
0.000000e+00,0.000000e+00,1.111111e-01,9.996611e-01,9.902142e-01,9.368630e-04,1.013258e-03
0.000000e+00,0.000000e+00,2.222222e-01,9.996615e-01,9.957907e-01,9.373995e-04,1.802739e-04
0.000000e+00,0.000000e+00,3.333333e-01,9.996634e-01,9.982785e-01,9.374591e-04,2.053767e-05
0.000000e+00,0.000000e+00,4.444444e-01,9.996656e-01,9.992946e-01,9.373995e-04,2.216968e-06
0.000000e+00,0.000000e+00,5.555556e-01,9.996681e-01,9.997103e-01,9.373995e-04,2.387208e-07
0.000000e+00,0.000000e+00,6.666667e-01,9.996847e-01,9.998808e-01,9.372206e-04,2.595013e-08
0.000000e+00,0.000000e+00,7.777778e-01,9.996946e-01,9.999511e-01,9.373398e-04,2.774185e-09
0.000000e+00,0.000000e+00,8.888889e-01,9.996946e-01,9.999799e-01,9.368630e-04,3.043620e-10
0.000000e+00,0.000000e+00,1.000000e+00,9.996954e-01,9.999917e-01,9.368928e-04,3.228638e-11
0.000000e+00,5.263158e-02,0.000000e+00,9.997085e-01,1.000000e+00,9.339722e-04,0.000000e+00
0.000000e+00,5.263158e-02,1.111111e-01,9.996624e-01,9.901938e-01,9.366544e-04,1.035521e-03
0.000000e+00,5.263158e-02,2.222222e-01,9.996611e-01,9.957910e-01,9.373697e-04,1.806072e-04
0.000000e+00,5.263158e-02,3.333333e-01,9.996631e-01,9.982786e-01,9.372802e-04,2.053927e-05
0.000000e+00,5.263158e-02,4.444444e-01,9.996655e-01,9.992946e-01,9.373995e-04,2.216802e-06
0.000000e+00,5.263158e-02,5.555556e-01,9.996688e-01,9.997103e-01,9.374293e-04,2.387068e-07
0.000000e+00,5.263158e-02,6.666667e-01,9.996889e-01,9.998809e-01,9.372802e-04,2.594919e-08
0.000000e+00,5.263158e-02,7.777778e-01,9.996972e-01,9.999511e-01,9.372802e-04,2.774125e-09
0.000000e+00,5.263158e-02,8.888889e-01,9.996993e-01,9.999799e-01,9.368034e-04,3.043581e-10
0.000000e+00,5.263158e-02,1.000000e+00,9.997006e-01,9.999917e-01,9.368034e-04,3.228614e-11
0.000000e+00,1.052632e-01,0.000000e+00,9.996999e-01,1.000000e+00,9.331079e-04,0.000000e+00
0.000000e+00,1.052632e-01,1.111111e-01,9.996663e-01,9.901451e-01,9.364458e-04,1.088941e-03
0.000000e+00,1.052632e-01,2.222222e-01,9.996608e-01,9.957917e-01,9.373100e-04,1.814024e-04
0.000000e+00,1.052632e-01,3.333333e-01,9.996628e-01,9.982788e-01,9.371610e-04,2.054283e-05
0.000000e+00,1.052632e-01,4.444444e-01,9.996654e-01,9.992946e-01,9.374293e-04,2.216384e-06
0.000000e+00,1.052632e-01,5.555556e-01,9.996709e-01,9.997103e-01,9.373100e-04,2.386720e-07
0.000000e+00,1.052632e-01,6.666667e-01,9.996936e-01,9.998809e-01,9.372802e-04,2.594685e-08
0.000000e+00,1.052632e-01,7.777778e-01,9.997000e-01,9.999511e-01,9.373398e-04,2.773978e-09
0.000000e+00,1.052632e-01,8.888889e-01,9.997051e-01,9.999799e-01,9.368630e-04,3.043485e-10
0.000000e+00,1.052632e-01,1.000000e+00,9.997068e-01,9.999917e-01,9.367140e-04,3.228555e-11
0.000000e+00,1.578947e-01,0.000000e+00,9.996889e-01,1.000000e+00,9.325715e-04,0.000000e+00
0.000000e+00,1.578947e-01,1.111111e-01,9.996754e-01,9.900737e-01,9.363564e-04,1.168036e-03
0.000000e+00,1.578947e-01,2.222222e-01,9.996608e-01,9.957929e-01,9.372504e-04,1.825673e-04
0.000000e+00,1.578947e-01,3.333333e-01,9.996628e-01,9.982790e-01,9.373100e-04,2.054727e-05
0.000000e+00,1.578947e-01,4.444444e-01,9.996657e-01,9.992946e-01,9.372504e-04,2.215714e-06
0.000000e+00,1.578947e-01,5.555556e-01,9.996747e-01,9.997103e-01,9.373398e-04,2.386172e-07
0.000000e+00,1.578947e-01,6.666667e-01,9.996976e-01,9.998809e-01,9.371908e-04,2.594317e-08
0.000000e+00,1.578947e-01,7.777778e-01,9.997031e-01,9.999511e-01,9.372802e-04,2.773746e-09
0.000000e+00,1.578947e-01,8.888889e-01,9.997124e-01,9.999799e-01,9.368332e-04,3.043334e-10
0.000000e+00,1.578947e-01,1.000000e+00,9.997143e-01,9.999917e-01,9.367438e-04,3.228462e-11
0.000000e+00,2.105263e-01,0.000000e+00,9.997015e-01,1.000000e+00,9.328397e-04,0.000000e+00
0.000000e+00,2.105263e-01,1.111111e-01,9.996892e-01,9.899875e-01,9.362968e-04,1.264848e-03
0.000000e+00,2.105263e-01,2.222222e-01,9.996615e-01,9.957946e-01,9.372802e-04,1.839682e-04
0.000000e+00,2.105263e-01,3.333333e-01,9.996632e-01,9.982793e-01,9.373398e-04,2.055099e-05
0.000000e+00,2.105263e-01,4.444444e-01,9.996668e-01,9.992947e-01,9.373398e-04,2.214783e-06
0.000000e+00,2.105263e-01,5.555556e-01,9.996797e-01,9.997103e-01,9.374293e-04,2.385432e-07
0.000000e+00,2.105263e-01,6.666667e-01,9.997007e-01,9.998809e-01,9.373100e-04,2.593822e-08
0.000000e+00,2.105263e-01,7.777778e-01,9.997070e-01,9.999511e-01,9.372206e-04,2.773434e-09
0.000000e+00,2.105263e-01,8.888889e-01,9.997183e-01,9.999799e-01,9.368630e-04,3.043131e-10
0.000000e+00,2.105263e-01,1.000000e+00,9.997201e-01,9.999917e-01,9.367438e-04,3.228337e-11
0.000000e+00,2.631579e-01,0.000000e+00,9.996991e-01,1.000000e+00,9.347470e-04,0.000000e+00
0.000000e+00,2.631579e-01,1.111111e-01,9.997023e-01,9.898973e-01,9.362670e-04,1.368606e-03
0.000000e+00,2.631579e-01,2.222222e-01,9.996635e-01,9.957967e-01,9.372504e-04,1.854295e-04
0.000000e+00,2.631579e-01,3.333333e-01,9.996641e-01,9.982797e-01,9.373100e-04,2.055207e-05
0.000000e+00,2.631579e-01,4.444444e-01,9.996692e-01,9.992948e-01,9.372504e-04,2.213598e-06
0.000000e+00,2.631579e-01,5.555556e-01,9.996843e-01,9.997103e-01,9.373697e-04,2.384519e-07
0.000000e+00,2.631579e-01,6.666667e-01,9.997030e-01,9.998809e-01,9.372802e-04,2.593215e-08
0.000000e+00,2.631579e-01,7.777778e-01,9.997110e-01,9.999511e-01,9.372504e-04,2.773052e-09
0.000000e+00,2.631579e-01,8.888889e-01,9.997224e-01,9.999799e-01,9.369226e-04,3.042882e-10
0.000000e+00,2.631579e-01,1.000000e+00,9.997236e-01,9.999917e-01,9.367140e-04,3.228183e-11
0.000000e+00,3.157895e-01,0.000000e+00,9.997156e-01,1.000000e+00,9.369226e-04,0.000000e+00
0.000000e+00,3.157895e-01,1.111111e-01,9.997123e-01,9.898137e-01,9.365054e-04,1.468200e-03
0.000000e+00,3.157895e-01,2.222222e-01,9.996675e-01,9.957993e-01,9.373100e-04,1.867730e-04
