epoch,loss,loss/D_u,loss/D_v,loss/F,loss/bc_bottom_u,loss/bc_bottom_v,loss/bc_left_u,loss/bc_left_v,loss/bc_right_u,loss/bc_right_v,loss/bc_top_u,loss/bc_top_v,loss/data,loss/ic_u,loss/ic_v,loss/k,loss/pde_u,loss/pde_v,loss/smma,lr,step
,,,,,,,,,,,,,,,,,,,,0.001,0
0,54.97444152832031,0.0002896375663112849,0.00022025110956747085,0.0025785015895962715,0.8064691424369812,0.9690291285514832,2.6473681926727295,1.632264494895935,0.9415811896324158,1.7718292474746704,1.3410491943359375,3.1465213298797607,0.326794296503067,0.5257528424263,0.31266942620277405,0.004979794379323721,17.859556198120117,22.69356918334961,,,62
,,,,,,,,,,,,,,,,,,,,0.000999999726118503,63
1,0.43675026297569275,0.0015174872241914272,0.0008857392240315676,0.006797620095312595,0.00776394410058856,0.008958653546869755,0.006798143964260817,0.00400481978431344,0.006056568585336208,0.00445551797747612,0.008090071380138397,0.007151412311941385,0.06505202502012253,0.1163424551486969,0.05016036704182625,0.01004497054964304,0.07147317379713058,0.08044317364692688,,,125
,,,,,,,,,,,,,,,,,,,,0.000999998904474312,126
2,0.265606552362442,0.0023231247905641794,0.0013289449270814657,0.015773627907037735,0.0023317940067499876,0.0010064056841656566,0.00199320656247437,0.0011063606943935156,0.0013512893347069621,0.0009566185181029141,0.0016072613652795553,0.000437495531514287,0.06548120826482773,0.11436086893081665,0.03297465294599533,0.021273039281368256,0.02323133870959282,0.01876807026565075,,,188
,,,,,,,,,,,,,,,,,,,,0.0009999975350683283,189
3,0.27437081933021545,0.003867680672556162,0.0017512277700006962,0.028913801535964012,0.001899035181850195,0.0011757883476093411,0.0016245548613369465,0.001171901822090149,0.004449098836630583,0.0004118381766602397,0.001178343198262155,0.00031467771623283625,0.06285974383354187,0.12432632595300674,0.032911088317632675,0.029831649735569954,0.028859930112957954,0.01318857166916132,,,251
,,,,,,,,,,,,,,,,,,,,0.0009999956179020531,252
4,0.2721107602119446,0.005247731693089008,0.002268113661557436,0.04360413923859596,0.0007535454351454973,0.001899343216791749,0.0006481737946160138,0.0007042580400593579,0.000339990365318954,0.0020707163494080305,0.0005108025507070124,0.0017570495838299394,0.06804638355970383,0.13256922364234924,0.03472881019115448,0.0371873714029789,0.010148325935006142,0.01793416030704975,,,314
,,,,,,,,,,,,,,,,,,,,0.0009999931529775896,315
5,0.2396024465560913,0.005642692558467388,0.0030294053722172976,0.060035064816474915,0.0003542322083376348,0.00016699232219252735,0.0002943432773463428,0.00039645738434046507,0.00016874192806426436,0.00011481776891741902,0.00021711351291742176,0.00019639480160549283,0.06271408498287201,0.13626249134540558,0.027112789452075958,0.04954453557729721,0.007217529695481062,0.004386451561003923,,,377
,,,,,,,,,,,,,,,,,,,,0.0009999901402976403,378
6,0.20579597353935242,0.006092803552746773,0.0031760178972035646,0.07555688917636871,0.0006873829406686127,0.00010877280146814883,0.00044503301614895463,0.00010239327093586326,0.00030022632563486695,6.440249853767455e-05,0.00039084875606931746,7.946962432470173e-05,0.05721510201692581,0.11323992162942886,0.025968341156840324,0.057618435472249985,0.004478630609810352,0.0027154681738466024,,,440
,,,,,,,,,,,,,,,,,,,,0.0009999865798655094,441
7,0.20323897898197174,0.006939760874956846,0.0032889223657548428,0.09449615329504013,0.00020770517585333437,0.0002260485343867913,0.00025892790290527046,0.00019270447955932468,0.00028973197913728654,0.00021301262313500047,0.00028559265774674714,0.00014117102546151727,0.05955357849597931,0.09889885783195496,0.033191777765750885,0.07176178693771362,0.004489006474614143,0.005290834698826075,,,503
,,,,,,,,,,,,,,,,,,,,0.000999982471685101,504
8,0.19365547597408295,0.0074454424902796745,0.00331703620031476,0.11437632888555527,0.00010317221313016489,8.990153582999483e-05,8.570637146476656e-05,7.436785381287336e-05,9.010101348394528e-05,6.306119757937267e-05,7.729542994638905e-05,5.2580886404030025e-05,0.06045171245932579,0.09248534590005875,0.03366526588797569,0.09208712726831436,0.0018226818647235632,0.004594273865222931,,,566
,,,,,,,,,,,,,,,,,,,,0.0009999778157609204,567
9,0.20276430249214172,0.007911072112619877,0.0033247547689825296,0.12918627262115479,7.096698391251266e-05,7.328948413487524e-05,4.882728535449132e-05,7.20867610652931e-05,4.4502445234684274e-05,4.622618871508166e-05,4.271399666322395e-05,3.256465424783528e-05,0.061820611357688904,0.09558439254760742,0.03773866593837738,0.11579272896051407,0.0016517711337655783,0.005537685006856918,,,629
,,,,,,,,,,,,,,,,,,,,0.0009999726120980732,630
10,0.19204172492027283,0.00917038694024086,0.0033369241282343864,0.14489160478115082,0.00014535020454786718,3.5926277632825077e-05,0.0001321178424404934,3.75677045667544e-05,0.00010352921526646242,2.833051075867843e-05,0.0001696231629466638,2.4072891392279416e-05,0.05839205160737038,0.0995158925652504,0.027854572981595993,0.13724899291992188,0.00402443390339613,0.0015782557893544436,,,692
,,,,,,,,,,,,,,,,,,,,0.000999966860702266,693
11,0.20044824481010437,0.010147846303880215,0.0034008524380624294,0.16113299131393433,2.7952590244240128e-05,2.5396824639756233e-05,2.133111956936773e-05,2.682504964468535e-05,1.1447298675193451e-05,2.365116961300373e-05,1.6776262782514095e-05,1.4859285329293925e-05,0.05955256149172783,0.11292514950037003,0.024711182340979576,0.14812956750392914,0.0021270678844302893,0.0009639987256377935,,,755
,,,,,,,,,,,,,,,,,,,,0.0009999605615798061,756
12,0.2109190672636032,0.010587500408291817,0.003550126915797591,0.17653460800647736,3.13211785396561e-05,3.421788278501481e-05,3.123620626865886e-05,4.5732042053714395e-05,3.210581780876964e-05,2.6445957701071166e-05,2.958882032544352e-05,2.1404634026112035e-05,0.06298131495714188,0.10857875645160675,0.03291479870676994,0.15688270330429077,0.0021239095367491245,0.0040682582184672356,,,818
,,,,,,,,,,,,,,,,,,,,0.000999953714737601,819
13,0.19202731549739838,0.01112120971083641,0.0035794114228338003,0.19574490189552307,3.9175993151729926e-05,1.533752765681129e-05,3.928787191398442e-05,1.7774273146642372e-05,3.909639053745195e-05,1.3474375919031445e-05,4.181687472737394e-05,1.3015065633226186e-05,0.05960114672780037,0.0989474430680275,0.02946273423731327,0.18228323757648468,0.0017648544162511826,0.0020321316551417112,,,881
,,,,,,,,,,,,,,,,,,,,0.000999946320183159,882
14,0.19177298247814178,0.012562462128698826,0.003617944661527872,0.21265138685703278,3.1004896300146356e-05,1.31905153466505e-05,4.023054862045683e-05,1.598540802660864e-05,3.451993688941002e-05,1.0719920283008832e-05,4.1590858018025756e-05,8.858582987159025e-06,0.06207165867090225,0.09876008331775665,0.026789091527462006,0.20306561887264252,0.0028412018436938524,0.0011148435296490788,,,944
,,,,,,,,,,,,,,,,,,,,0.0009999383779245895,945
15,0.18417811393737793,0.014419957995414734,0.0037397611886262894,0.23150086402893066,2.0902169126202352e-05,2.0390889403643087e-05,2.3705917556071654e-05,2.767784462776035e-05,2.1809255486004986e-05,1.5702578821219504e-05,2.28920307563385e-05,1.200051701744087e-05,0.05822286754846573,0.09670786559581757,0.026939747855067253,0.21437345445156097,0.0012021884322166443,0.0009403778240084648,,,1007
,,,,,,,,,,,,,,,,,,,,0.0009999298879706019,1008
16,0.18681040406227112,0.015993576496839523,0.003914479166269302,0.24889148771762848,2.8559952625073493e-05,1.3021226550335996e-05,2.6696137865656056e-05,1.5591753253829665e-05,3.5972763726022094e-05,1.0796712558658328e-05,3.645509423222393e-05,8.509766303177457e-06,0.059482451528310776,0.09535866975784302,0.02737882174551487,0.2288406491279602,0.003186534158885479,0.0012283474206924438,,,1070
,,,,,,,,,,,,,,,,,,,,0.0009999208503305064,1071
17,0.1914764642715454,0.01918116770684719,0.004065429326146841,0.26667487621307373,2.344428503420204e-05,1.5141859876166563e-05,3.1187602871796116e-05,1.8900320355896838e-05,2.285056143591646e-05,1.2263187272765208e-05,3.931865649065003e-05,1.0596022548270412e-05,0.05941200256347656,0.10334839671850204,0.02543649636209011,0.24611584842205048,0.0019195351051166654,0.00118632847443223,,,1133
,,,,,,,,,,,,,,,,,,,,0.000999911265014214,1134
18,0.19331736862659454,0.02358356863260269,0.004264179617166519,0.28652992844581604,2.2342554075294174e-05,1.4965226910135243e-05,2.1252635633572936e-05,1.9682427591760643e-05,2.205076270911377e-05,1.4149783055472653e-05,2.4054426830844022e-05,1.0625004506437108e-05,0.06029786914587021,0.1036786288022995,0.025791510939598083,0.2614518404006958,0.0026848516426980495,0.0007154351915232837,,,1196
,,,,,,,,,,,,,,,,,,,,0.0009999011320322364,1197
19,0.18252110481262207,0.024905752390623093,0.004508793819695711,0.30909550189971924,1.4734039723407477e-05,1.0168470907956362e-05,1.727348535496276e-05,1.2050658369844314e-05,1.8429023839416914e-05,1.0434584510221612e-05,1.6691225027898327e-05,7.937230293464381e-06,0.05999162048101425,0.09594155102968216,0.024676809087395668,0.27233806252479553,0.0010096863843500614,0.0007937260088510811,,,1259
,,,,,,,,,,,,,,,,,,,,0.0009998904513956852,1260
20,0.18907076120376587,0.028730638325214386,0.004786213859915733,0.33211275935173035,2.595633122837171e-05,1.1656199603748973e-05,2.9615055609610863e-05,1.3705317542189732e-05,5.4204341722652316e-05,1.0233053217234556e-05,5.3650619520340115e-05,6.2668150349054486e-06,0.06294568628072739,0.09547001123428345,0.025245310738682747,0.28984832763671875,0.003943517338484526,0.0012609615223482251,,,1322
,,,,,,,,,,,,,,,,,,,,0.0009998792231162735,1323
21,0.19723854959011078,0.033833667635917664,0.005010259337723255,0.35851430892944336,2.9819360861438327e-05,9.37370987230679e-06,2.580815998953767e-05,1.1682901458698325e-05,3.5014611057704315e-05,9.125742508331314e-06,3.687456774059683e-05,7.111405466275755e-06,0.05966862663626671,0.09366973489522934,0.02470107190310955,0.3068447709083557,0.017936697229743004,0.0010976482881233096,,,1385
,,,,,,,,,,,,,,,,,,,,0.000999867447206314,1386
22,0.19200947880744934,0.04269039258360863,0.005294725764542818,0.3836219012737274,1.3364347978495061e-05,1.2636587598535698e-05,2.940779040727648e-06,1.609994433238171e-05,5.2943837545171846e-06,1.1301722224743571e-05,2.1340878447517753e-05,1.0467815627634991e-05,0.05851522088050842,0.10197745263576508,0.02887989580631256,0.32968801259994507,0.0010192601475864649,0.0015241735382005572,2.830289125442505,,1448
,,,,,,,,,,,,,,,,,,,,0.000999855123678721,1449
