epoch,loss,loss/Rt,loss/data,loss/ic,loss/res,loss/sigma,lr,step
,,,,,,,0.0005,0
0,559.2861328125,1.2941274642944336,557.7899780273438,0.12883108854293823,1.3672733306884766,0.10681983083486557,,59
,,,,,,,0.0005,60
1,3.2852864265441895,1.2984421253204346,3.282418727874756,0.002280220855027437,0.0005869009182788432,0.08842267096042633,,119
,,,,,,,0.0005,120
2,2.784423589706421,1.2362897396087646,2.7837588787078857,0.0006092395633459091,5.52393939869944e-05,0.10377564281225204,,179
,,,,,,,0.0005,180
3,2.336009979248047,1.2122894525527954,2.3357837200164795,0.0002017953956965357,2.4584249331383035e-05,0.11951369047164917,,239
,,,,,,,0.0005,240
4,2.1239728927612305,1.1975321769714355,2.1238903999328613,7.186250149970874e-05,1.0063296031148639e-05,0.12706869840621948,,299
,,,,,,,0.0005,300
5,2.0515663623809814,1.1831791400909424,2.051525831222534,3.9058497350197285e-05,1.9554611299099633e-06,0.1330985575914383,,359
,,,,,,,0.0005,360
6,2.0148205757141113,1.1768147945404053,2.0147905349731445,2.995747490786016e-05,6.385646429407643e-07,0.14015361666679382,,419
,,,,,,,0.0005,420
7,1.995915412902832,1.173974871635437,1.9958882331848145,2.585145557532087e-05,1.0881501566473162e-06,0.14516089856624603,,479
,,,,,,,0.0005,480
8,1.9873796701431274,1.1731806993484497,1.9873559474945068,2.3518065063399263e-05,5.186793714528903e-07,0.14879490435123444,,539
,,,,,,,0.0005,540
9,1.979207158088684,1.1735888719558716,1.9791851043701172,2.206864519394003e-05,3.8711570482519164e-07,0.1524234414100647,,599
,,,,,,,0.0005,600
10,1.9739941358566284,1.1711686849594116,1.9739712476730347,2.10854850593023e-05,1.601234544068575e-06,0.15588527917861938,,659
,,,,,,,0.0005,660
11,1.969111442565918,1.179957628250122,1.969065546989441,2.0311230400693603e-05,2.546598443586845e-05,0.15968212485313416,,719
,,,,,,,0.0005,720
12,1.9664087295532227,1.1752502918243408,1.9663816690444946,1.9800514564849436e-05,6.947936526557896e-06,0.1628793627023697,,779
,,,,,,,0.0005,780
13,1.965712070465088,1.1707749366760254,1.965692400932312,1.917973713716492e-05,7.72421572037274e-07,0.16582931578159332,,839
,,,,,,,0.0005,840
14,1.965558648109436,1.173668622970581,1.9655375480651855,1.8716520571615547e-05,2.3453430912923068e-06,0.16908635199069977,,899
,,,,,,,0.0005,900
15,1.9611883163452148,1.1687915325164795,1.9611588716506958,1.843698373704683e-05,1.1350904969731346e-05,0.1726713478565216,,959
,,,,,,,0.0005,960
16,1.9619295597076416,1.1819813251495361,1.961876630783081,1.812993832572829e-05,3.4454969863872975e-05,0.17505045235157013,,1019
,,,,,,,0.0005,1020
17,1.9634549617767334,1.1832307577133179,1.9633913040161133,1.7629272406338714e-05,4.570550663629547e-05,0.17801566421985626,,1079
,,,,,,,0.0005,1080
18,1.9608286619186401,1.1802549362182617,1.9607763290405273,1.7436179405194707e-05,3.415899118408561e-05,0.18194903433322906,,1139
,,,,,,,0.0005,1140
