t,x_observed,x_pred,v_pred,zeta_pred,zeta_true
0.000000e+00,1.029701e+00,1.000044e+00,1.223385e-05,1.686956e-01,1.500000e-01
5.025126e-03,1.003644e+00,9.889138e-01,-9.620036e-01,1.686956e-01,1.500000e-01
1.005025e-02,9.583603e-01,9.603301e-01,-1.857372e+00,1.686956e-01,1.500000e-01
1.507538e-02,9.089268e-01,9.049490e-01,-2.664322e+00,1.686956e-01,1.500000e-01
2.010050e-02,8.084635e-01,8.272096e-01,-3.363709e+00,1.686956e-01,1.500000e-01
2.512563e-02,7.478236e-01,7.401345e-01,-3.949267e+00,1.686956e-01,1.500000e-01
3.015075e-02,6.436764e-01,6.400942e-01,-4.414089e+00,1.686956e-01,1.500000e-01
3.517588e-02,4.959402e-01,5.213814e-01,-4.747522e+00,1.686956e-01,1.500000e-01
4.020100e-02,3.704961e-01,3.869164e-01,-4.940227e+00,1.686956e-01,1.500000e-01
4.522613e-02,2.112506e-01,2.468342e-01,-4.990663e+00,1.686956e-01,1.500000e-01
5.025126e-02,1.273080e-01,1.159442e-01,-4.907503e+00,1.686956e-01,1.500000e-01
5.527638e-02,6.213674e-03,-3.503323e-03,-4.706455e+00,1.686956e-01,1.500000e-01
6.030151e-02,-9.382129e-02,-1.153910e-01,-4.404215e+00,1.686956e-01,1.500000e-01
6.532663e-02,-2.257888e-01,-2.166647e-01,-4.015447e+00,1.686956e-01,1.500000e-01
7.035176e-02,-3.376845e-01,-3.145695e-01,-3.551501e+00,1.686956e-01,1.500000e-01
7.537688e-02,-4.190421e-01,-4.120470e-01,-3.016066e+00,1.686956e-01,1.500000e-01
8.040201e-02,-4.786892e-01,-4.836460e-01,-2.426668e+00,1.686956e-01,1.500000e-01
8.542714e-02,-5.214142e-01,-5.422249e-01,-1.804751e+00,1.686956e-01,1.500000e-01
9.045226e-02,-5.951920e-01,-5.908846e-01,-1.163378e+00,1.686956e-01,1.500000e-01
9.547739e-02,-6.246150e-01,-6.180097e-01,-5.181165e-01,1.686956e-01,1.500000e-01
1.005025e-01,-6.536146e-01,-6.214388e-01,1.093624e-01,1.686956e-01,1.500000e-01
1.055276e-01,-5.700029e-01,-6.045601e-01,6.965246e-01,1.686956e-01,1.500000e-01
1.105528e-01,-5.870945e-01,-5.763461e-01,1.229424e+00,1.686956e-01,1.500000e-01
1.155779e-01,-5.540167e-01,-5.414288e-01,1.705256e+00,1.686956e-01,1.500000e-01
1.206030e-01,-5.125068e-01,-4.992763e-01,2.120227e+00,1.686956e-01,1.500000e-01
1.256281e-01,-4.665969e-01,-4.483573e-01,2.467261e+00,1.686956e-01,1.500000e-01
1.306533e-01,-4.013973e-01,-3.884701e-01,2.742846e+00,1.686956e-01,1.500000e-01
1.356784e-01,-3.107001e-01,-3.208288e-01,2.944065e+00,1.686956e-01,1.500000e-01
1.407035e-01,-2.694356e-01,-2.478455e-01,3.066846e+00,1.686956e-01,1.500000e-01
1.457286e-01,-1.489111e-01,-1.725895e-01,3.110348e+00,1.686956e-01,1.500000e-01
1.507538e-01,-5.649199e-02,-9.681040e-02,3.077955e+00,1.686956e-01,1.500000e-01
1.557789e-01,1.081629e-02,-2.049440e-02,2.974333e+00,1.686956e-01,1.500000e-01
1.608040e-01,1.050382e-01,5.530679e-02,2.803772e+00,1.686956e-01,1.500000e-01
1.658292e-01,1.431690e-01,1.266434e-01,2.571368e+00,1.686956e-01,1.500000e-01
1.708543e-01,1.533098e-01,1.885599e-01,2.285437e+00,1.686956e-01,1.500000e-01
1.758794e-01,2.504611e-01,2.381212e-01,1.958707e+00,1.686956e-01,1.500000e-01
1.809045e-01,3.157289e-01,2.753657e-01,1.606639e+00,1.686956e-01,1.500000e-01
1.859296e-01,3.289097e-01,3.022064e-01,1.243512e+00,1.686956e-01,1.500000e-01
1.909548e-01,3.202236e-01,3.209629e-01,8.791339e-01,1.686956e-01,1.500000e-01
1.959799e-01,4.017315e-01,3.334666e-01,5.188406e-01,1.686956e-01,1.500000e-01
2.010050e-01,3.931500e-01,3.407325e-01,1.663087e-01,1.686956e-01,1.500000e-01
2.060302e-01,3.633548e-01,3.429171e-01,-1.736683e-01,1.686956e-01,1.500000e-01
2.110553e-01,3.887429e-01,3.393728e-01,-4.948132e-01,1.686956e-01,1.500000e-01
2.160804e-01,3.688658e-01,3.287718e-01,-7.910179e-01,1.686956e-01,1.500000e-01
2.211055e-01,3.094187e-01,3.093866e-01,-1.057244e+00,1.686956e-01,1.500000e-01
2.261306e-01,3.006110e-01,2.796691e-01,-1.287631e+00,1.686956e-01,1.500000e-01
2.311558e-01,2.320354e-01,2.391685e-01,-1.473198e+00,1.686956e-01,1.500000e-01
2.361809e-01,2.315703e-01,1.894937e-01,-1.604100e+00,1.686956e-01,1.500000e-01
2.412060e-01,1.666629e-01,1.346250e-01,-1.675396e+00,1.686956e-01,1.500000e-01
2.462312e-01,1.059310e-01,7.999903e-02,-1.689410e+00,1.686956e-01,1.500000e-01
2.512563e-01,8.072915e-02,3.071481e-02,-1.653332e+00,1.686956e-01,1.500000e-01
2.562814e-01,2.319703e-02,-9.987175e-03,-1.576293e+00,1.686956e-01,1.500000e-01
2.613065e-01,-5.227389e-02,-4.112142e-02,-1.468129e+00,1.686956e-01,1.500000e-01
2.663316e-01,-1.133372e-01,-6.338841e-02,-1.338919e+00,1.686956e-01,1.500000e-01
2.713568e-01,-1.242908e-01,-7.831979e-02,-1.198172e+00,1.686956e-01,1.500000e-01
2.763819e-01,-1.418587e-01,-8.761227e-02,-1.053699e+00,1.686956e-01,1.500000e-01
2.814071e-01,-1.759353e-01,-9.277457e-02,-9.109241e-01,1.686956e-01,1.500000e-01
2.864322e-01,-2.337502e-01,-9.500808e-02,-7.730632e-01,1.686956e-01,1.500000e-01
2.914573e-01,-2.437133e-01,-9.521228e-02,-6.418558e-01,1.686956e-01,1.500000e-01
2.964824e-01,-2.177262e-01,-9.403524e-02,-5.182629e-01,1.686956e-01,1.500000e-01
3.015075e-01,-2.321852e-01,-9.193558e-02,-4.028752e-01,1.686956e-01,1.500000e-01
3.065327e-01,-2.205496e-01,-8.923259e-02,-2.960228e-01,1.686956e-01,1.500000e-01
3.115578e-01,-2.375315e-01,-8.614826e-02,-1.977830e-01,1.686956e-01,1.500000e-01
3.165829e-01,-2.222472e-01,-8.283618e-02,-1.080003e-01,1.686956e-01,1.500000e-01
3.216080e-01,-1.938235e-01,-7.940280e-02,-2.634652e-02,1.686956e-01,1.500000e-01
3.266332e-01,-1.844238e-01,-7.592130e-02,4.757996e-02,1.686956e-01,1.500000e-01
3.316583e-01,-1.642600e-01,-7.244259e-02,1.141932e-01,1.686956e-01,1.500000e-01
3.366834e-01,-1.251975e-01,-6.900132e-02,1.738760e-01,1.686956e-01,1.500000e-01
3.417085e-01,-1.304645e-01,-6.562239e-02,2.269846e-01,1.686956e-01,1.500000e-01
3.467337e-01,-5.820211e-02,-6.232101e-02,2.738590e-01,1.686956e-01,1.500000e-01
3.517588e-01,-4.535930e-02,-5.910856e-02,3.148438e-01,1.686956e-01,1.500000e-01
3.567839e-01,1.393613e-02,-5.599150e-02,3.503054e-01,1.686956e-01,1.500000e-01
3.618090e-01,2.236922e-02,-5.297434e-02,3.806316e-01,1.686956e-01,1.500000e-01
3.668342e-01,3.096904e-02,-5.005890e-02,4.062282e-01,1.686956e-01,1.500000e-01
3.718593e-01,6.897566e-02,-4.724586e-02,4.275101e-01,1.686956e-01,1.500000e-01
3.768844e-01,1.135583e-01,-4.453516e-02,4.448875e-01,1.686956e-01,1.500000e-01
3.819095e-01,1.052060e-01,-4.192537e-02,4.587539e-01,1.686956e-01,1.500000e-01
3.869347e-01,1.178320e-01,-3.941488e-02,4.694786e-01,1.686956e-01,1.500000e-01
3.919598e-01,1.241811e-01,-3.700185e-02,4.773981e-01,1.686956e-01,1.500000e-01
3.969849e-01,1.141751e-01,-3.468406e-02,4.828156e-01,1.686956e-01,1.500000e-01
4.020101e-01,1.330049e-01,-3.245872e-02,4.860002e-01,1.686956e-01,1.500000e-01
4.070352e-01,1.745676e-01,-3.032339e-02,4.871874e-01,1.686956e-01,1.500000e-01
4.120603e-01,1.317437e-01,-2.827591e-02,4.865835e-01,1.686956e-01,1.500000e-01
4.170854e-01,1.179857e-01,-2.631319e-02,4.843668e-01,1.686956e-01,1.500000e-01
4.221106e-01,1.243993e-01,-2.443278e-02,4.806945e-01,1.686956e-01,1.500000e-01
4.271356e-01,1.345057e-01,-2.263182e-02,4.757030e-01,1.686956e-01,1.500000e-01
4.321608e-01,1.136190e-01,-2.090782e-02,4.695151e-01,1.686956e-01,1.500000e-01
4.371859e-01,1.149048e-01,-1.925844e-02,4.622396e-01,1.686956e-01,1.500000e-01
4.422111e-01,5.883291e-02,-1.768088e-02,4.539763e-01,1.686956e-01,1.500000e-01
4.472362e-01,3.120051e-02,-1.617306e-02,4.448173e-01,1.686956e-01,1.500000e-01
4.522613e-01,2.151304e-02,-1.473218e-02,4.348495e-01,1.686956e-01,1.500000e-01
4.572864e-01,-1.871409e-02,-1.335633e-02,4.241557e-01,1.686956e-01,1.500000e-01
4.623116e-01,8.776766e-03,-1.204300e-02,4.128140e-01,1.686956e-01,1.500000e-01
4.673367e-01,-2.879299e-02,-1.079041e-02,4.009010e-01,1.686956e-01,1.500000e-01
4.723618e-01,-3.321285e-02,-9.596109e-03,3.884901e-01,1.686956e-01,1.500000e-01
4.773870e-01,-5.649637e-02,-8.458138e-03,3.756526e-01,1.686956e-01,1.500000e-01
4.824120e-01,-6.475905e-02,-7.374585e-03,3.624565e-01,1.686956e-01,1.500000e-01
4.874372e-01,-4.892998e-02,-6.343603e-03,3.489674e-01,1.686956e-01,1.500000e-01
4.924623e-01,-1.075745e-01,-5.363405e-03,3.352478e-01,1.686956e-01,1.500000e-01
4.974875e-01,-1.132759e-01,-4.432380e-03,3.213562e-01,1.686956e-01,1.500000e-01
5.025126e-01,-1.036291e-01,-3.548503e-03,3.073479e-01,1.686956e-01,1.500000e-01
5.075377e-01,-7.093792e-02,-2.710223e-03,2.932747e-01,1.686956e-01,1.500000e-01
5.125628e-01,-1.277392e-01,-1.916647e-03,2.791840e-01,1.686956e-01,1.500000e-01
5.175880e-01,-1.067463e-01,-1.165390e-03,2.651196e-01,1.686956e-01,1.500000e-01
5.226130e-01,-1.006214e-01,-4.553795e-04,2.511219e-01,1.686956e-01,1.500000e-01
5.276382e-01,-1.034404e-01,2.148151e-04,2.372264e-01,1.686956e-01,1.500000e-01
5.326633e-01,-5.436430e-02,8.463860e-04,2.234678e-01,1.686956e-01,1.500000e-01
5.376884e-01,-7.579748e-02,1.440883e-03,2.098752e-01,1.686956e-01,1.500000e-01
5.427135e-01,-5.249233e-02,1.999319e-03,1.964772e-01,1.686956e-01,1.500000e-01
5.477387e-01,-5.552477e-02,2.522945e-03,1.832977e-01,1.686956e-01,1.500000e-01
5.527638e-01,-1.537971e-02,3.012896e-03,1.703604e-01,1.686956e-01,1.500000e-01
5.577890e-01,-1.410202e-02,3.470361e-03,1.576854e-01,1.686956e-01,1.500000e-01
5.628141e-01,-1.427645e-02,3.896356e-03,1.452916e-01,1.686956e-01,1.500000e-01
5.678392e-01,7.070992e-04,4.291952e-03,1.331959e-01,1.686956e-01,1.500000e-01
5.728644e-01,4.941668e-02,4.657984e-03,1.214144e-01,1.686956e-01,1.500000e-01
5.778894e-01,5.344150e-02,4.995406e-03,1.099600e-01,1.686956e-01,1.500000e-01
5.829146e-01,5.950275e-02,5.305350e-03,9.884535e-02,1.686956e-01,1.500000e-01
5.879397e-01,5.532973e-02,5.588472e-03,8.808117e-02,1.686956e-01,1.500000e-01
5.929648e-01,5.523195e-02,5.845726e-03,7.767637e-02,1.686956e-01,1.500000e-01
5.979899e-01,7.558120e-02,6.078005e-03,6.763886e-02,1.686956e-01,1.500000e-01
6.030151e-01,9.781431e-02,6.286025e-03,5.797441e-02,1.686956e-01,1.500000e-01
6.080402e-01,7.885718e-02,6.470382e-03,4.868786e-02,1.686956e-01,1.500000e-01
6.130654e-01,6.883719e-02,6.631970e-03,3.978305e-02,1.686956e-01,1.500000e-01
6.180905e-01,6.794811e-02,6.771624e-03,3.126071e-02,1.686956e-01,1.500000e-01
6.231156e-01,-4.590489e-03,6.889641e-03,2.312155e-02,1.686956e-01,1.500000e-01
6.281407e-01,6.139824e-02,6.987035e-03,1.536532e-02,1.686956e-01,1.500000e-01
6.331658e-01,7.250849e-02,7.064402e-03,7.989570e-03,1.686956e-01,1.500000e-01
6.381909e-01,2.834371e-02,7.122040e-03,9.914190e-04,1.686956e-01,1.500000e-01
6.432161e-01,3.347553e-02,7.160902e-03,-5.633876e-03,1.686956e-01,1.500000e-01
6.482412e-01,3.177622e-02,7.181466e-03,-1.189052e-02,1.686956e-01,1.500000e-01
6.532663e-01,1.286980e-02,7.184327e-03,-1.778464e-02,1.686956e-01,1.500000e-01
6.582915e-01,6.721367e-03,7.169664e-03,-2.332242e-02,1.686956e-01,1.500000e-01
6.633166e-01,-1.638205e-02,7.138371e-03,-2.851094e-02,1.686956e-01,1.500000e-01
6.683417e-01,5.507311e-03,7.090986e-03,-3.335728e-02,1.686956e-01,1.500000e-01
6.733668e-01,-2.913085e-02,7.027864e-03,-3.786956e-02,1.686956e-01,1.500000e-01
6.783919e-01,5.336981e-03,6.949306e-03,-4.205535e-02,1.686956e-01,1.500000e-01
6.834171e-01,5.052833e-03,6.856024e-03,-4.592256e-02,1.686956e-01,1.500000e-01
6.884422e-01,-4.134059e-02,6.748438e-03,-4.947917e-02,1.686956e-01,1.500000e-01
6.934673e-01,-5.627669e-02,6.626666e-03,-5.273335e-02,1.686956e-01,1.500000e-01
6.984925e-01,-1.851355e-02,6.491661e-03,-5.569331e-02,1.686956e-01,1.500000e-01
7.035176e-01,-5.231365e-02,6.343305e-03,-5.836593e-02,1.686956e-01,1.500000e-01
7.085427e-01,-2.431815e-02,6.182253e-03,-6.075938e-02,1.686956e-01,1.500000e-01
7.135679e-01,-3.957915e-02,6.008804e-03,-6.288071e-02,1.686956e-01,1.500000e-01
7.185930e-01,-5.338123e-02,5.823433e-03,-6.473698e-02,1.686956e-01,1.500000e-01
7.236181e-01,-2.660535e-02,5.626321e-03,-6.633501e-02,1.686956e-01,1.500000e-01
7.286432e-01,-3.182494e-02,5.418062e-03,-6.768100e-02,1.686956e-01,1.500000e-01
7.336683e-01,-2.567930e-02,5.198538e-03,-6.878091e-02,1.686956e-01,1.500000e-01
7.386935e-01,-4.474083e-02,4.968584e-03,-6.964053e-02,1.686956e-01,1.500000e-01
7.437186e-01,-6.179428e-03,4.728258e-03,-7.026537e-02,1.686956e-01,1.500000e-01
7.487437e-01,-1.072803e-02,4.477739e-03,-7.066016e-02,1.686956e-01,1.500000e-01
7.537688e-01,-6.106483e-03,4.217684e-03,-7.082991e-02,1.686956e-01,1.500000e-01
7.587940e-01,-2.481133e-02,3.948152e-03,-7.077868e-02,1.686956e-01,1.500000e-01
7.638191e-01,4.060408e-02,3.669500e-03,-7.051043e-02,1.686956e-01,1.500000e-01
7.688442e-01,-2.525534e-02,3.381908e-03,-7.002933e-02,1.686956e-01,1.500000e-01
7.738693e-01,1.378746e-02,3.085613e-03,-6.933843e-02,1.686956e-01,1.500000e-01
7.788945e-01,2.179591e-02,2.780914e-03,-6.844093e-02,1.686956e-01,1.500000e-01
7.839196e-01,-9.609318e-03,2.468288e-03,-6.733997e-02,1.686956e-01,1.500000e-01
7.889447e-01,1.353219e-02,2.147734e-03,-6.603830e-02,1.686956e-01,1.500000e-01
7.939699e-01,6.244405e-02,1.819730e-03,-6.453831e-02,1.686956e-01,1.500000e-01
7.989950e-01,1.216224e-02,1.483977e-03,-6.284241e-02,1.686956e-01,1.500000e-01
8.040201e-01,1.165338e-02,1.141310e-03,-6.095268e-02,1.686956e-01,1.500000e-01
8.090452e-01,3.251408e-02,7.917285e-04,-5.887114e-02,1.686956e-01,1.500000e-01
8.140703e-01,3.745715e-02,4.354715e-04,-5.659990e-02,1.686956e-01,1.500000e-01
