epoch,loss,loss/D_u,loss/D_v,loss/F,loss/bc_bottom_u,loss/bc_bottom_v,loss/bc_left_u,loss/bc_left_v,loss/bc_right_u,loss/bc_right_v,loss/bc_top_u,loss/bc_top_v,loss/data,loss/ic_u,loss/ic_v,loss/k,loss/pde_u,loss/pde_v,loss/smma,lr,step
,,,,,,,,,,,,,,,,,,,,0.001,0
0,41.20077133178711,0.00038504909025505185,0.00028163823299109936,0.002811738755553961,0.4662397801876068,0.12889744341373444,0.8864150047302246,0.3479945957660675,2.261676549911499,0.5089102983474731,2.630087375640869,1.723557710647583,0.25045129656791687,0.4484752416610718,0.26653507351875305,0.004896300844848156,14.949637413024902,16.331878662109375,,,62
,,,,,,,,,,,,,,,,,,,,0.000999999726118503,63
1,0.32451918721199036,0.0013973194872960448,0.0014555202797055244,0.007196794264018536,0.007009396329522133,0.008406151086091995,0.005302059929817915,0.0024535597767680883,0.0041198148392140865,0.0016338496934622526,0.0063985977321863174,0.004401393700391054,0.009387814439833164,0.1101970225572586,0.03488629683852196,0.009799476712942123,0.061429403722286224,0.06889379024505615,,,125
,,,,,,,,,,,,,,,,,,,,0.000999998904474312,126
2,0.2742766737937927,0.002566839335486293,0.0022801740560680628,0.015144278295338154,0.0027659281622618437,0.0006678381469100714,0.00248377351090312,0.001716091763228178,0.001097827567718923,0.001536424271762371,0.0027483426965773106,0.0003887309576384723,0.01637863926589489,0.13848203420639038,0.039946336299180984,0.02024136111140251,0.04167809337377548,0.024386629462242126,,,188
,,,,,,,,,,,,,,,,,,,,0.0009999975350683283,189
3,0.20010294020175934,0.003910435829311609,0.002678789896890521,0.030020471662282944,0.0008989811176434159,0.00023215188411995769,0.0008669944363646209,0.00018831394845619798,0.0004243749426677823,0.0002954681986011565,0.000358870456693694,0.00014960471889935434,0.012741331942379475,0.10362713038921356,0.05064750462770462,0.03784399479627609,0.009274606592953205,0.020397551357746124,,,251
,,,,,,,,,,,,,,,,,,,,0.0009999956179020531,252
4,0.20142872631549835,0.004950747825205326,0.0029263622127473354,0.045195046812295914,0.0014127613976597786,0.0014484613202512264,0.0014969673939049244,0.0006051902892068028,0.0019034151919186115,0.0012606072705239058,0.0015159843023866415,0.0012215414317324758,0.011035551317036152,0.11511438339948654,0.03721615672111511,0.05905589461326599,0.017843030393123627,0.009354684501886368,,,314
,,,,,,,,,,,,,,,,,,,,0.0009999931529775896,315
5,0.1348947286605835,0.006460107397288084,0.00325205409899354,0.05829864740371704,0.00015099719166755676,2.5820798327913508e-05,0.00013753482198808342,1.882780998130329e-05,0.00012749384040944278,2.3465070626116358e-05,0.00015663632075302303,1.941953451023437e-05,0.006167843472212553,0.09686756879091263,0.02621273696422577,0.06613215059041977,0.0038072331808507442,0.001179149025119841,,,377
,,,,,,,,,,,,,,,,,,,,0.0009999901402976403,378
6,0.1736980676651001,0.009121197275817394,0.003350728191435337,0.0734185054898262,0.001854640431702137,4.021069617010653e-05,0.0005666636279784143,2.0975090592401102e-05,0.000342709623510018,2.547272015362978e-05,0.0013877247693017125,4.131774403504096e-05,0.009230469353497028,0.10490114986896515,0.034969452768564224,0.0764927938580513,0.015094643458724022,0.005222634878009558,,,440
,,,,,,,,,,,,,,,,,,,,0.0009999865798655094,441
7,0.13106025755405426,0.011019902303814888,0.0034020859748125076,0.09151400625705719,3.8418347685365006e-05,4.685702879214659e-05,5.2399518608581275e-05,1.846225313784089e-05,5.059280738350935e-05,2.5857285436359234e-05,5.2407187467906624e-05,3.3062467991840094e-05,0.0061980378814041615,0.08507899940013885,0.03344612568616867,0.0954006016254425,0.0015975066926330328,0.004421552177518606,,,503
,,,,,,,,,,,,,,,,,,,,0.000999982471685101,504
8,0.13721369206905365,0.011645185761153698,0.0034559613559395075,0.10859988629817963,2.9156110031181015e-05,3.144363290630281e-05,7.054379238979891e-05,1.1589535461098421e-05,5.391487866290845e-05,1.8713979443418793e-05,6.357725214911625e-05,1.79331091203494e-05,0.0064500318840146065,0.09756369143724442,0.028064148500561714,0.11756077408790588,0.002647299086675048,0.002191664185374975,,,566
,,,,,,,,,,,,,,,,,,,,0.0009999778157609204,567
9,0.14573466777801514,0.01269641425460577,0.003540321486070752,0.12672726809978485,6.15685130469501e-05,8.168118802132085e-05,9.810491610551253e-05,3.222316809115e-05,7.617378287250176e-05,3.858503987430595e-05,0.00011071265180362388,3.014526009792462e-05,0.006193882320076227,0.10804875940084457,0.025939181447029114,0.1289915293455124,0.0033905429299920797,0.0016331149963662028,,,629
,,,,,,,,,,,,,,,,,,,,0.0009999726120980732,630
10,0.14974071085453033,0.014846867881715298,0.0037131118588149548,0.1469302475452423,9.847062028711662e-05,5.631839667330496e-05,0.0002478779060766101,2.393379145360086e-05,0.00018859159899875522,2.5818031645030715e-05,0.00017888148431666195,3.112749618594535e-05,0.007590604946017265,0.10427434742450714,0.02916881814599037,0.1432885080575943,0.004781609866768122,0.0030743125826120377,,,692
,,,,,,,,,,,,,,,,,,,,0.000999966860702266,693
11,0.1605367511510849,0.01893305405974388,0.0038503408432006836,0.17848892509937286,0.0005497998790815473,2.678527198440861e-05,0.0005929588223807514,1.131225872086361e-05,0.00124853674788028,1.2453844647097867e-05,0.0005508059402927756,1.4523905520036351e-05,0.007105607073754072,0.11426825821399689,0.026764368638396263,0.16138245165348053,0.008323238231241703,0.0010681108105927706,,,755
,,,,,,,,,,,,,,,,,,,,0.0009999605615798061,756
12,0.12820330262184143,0.022158944979310036,0.003986881114542484,0.20080669224262238,2.9818740586051717e-05,2.2264226572588086e-05,4.1090785089181736e-05,1.0514131645322777e-05,4.837233791477047e-05,1.3054199371254072e-05,5.576809780905023e-05,1.1274723874521442e-05,0.0048616984859108925,0.09415879845619202,0.025234468281269073,0.17622068524360657,0.002471261192113161,0.0012448745546862483,,,818
,,,,,,,,,,,,,,,,,,,,0.000999953714737601,819
13,0.14054881036281586,0.02574438787996769,0.004180185962468386,0.2203739732503891,3.7831938243471086e-05,3.0067243642406538e-05,5.962152863503434e-05,1.2226582839502953e-05,6.35106916888617e-05,1.5319861631724052e-05,7.554117473773658e-05,2.040038089035079e-05,0.007400970906019211,0.10211284458637238,0.02560168132185936,0.18960650265216827,0.0038040021900087595,0.0013147799763828516,,,881
,,,,,,,,,,,,,,,,,,,,0.000999946320183159,882
14,0.13650840520858765,0.0290092620998621,0.004378456622362137,0.24971815943717957,3.7448262446559966e-05,4.919728235108778e-05,5.33871389052365e-05,2.2426424038712867e-05,4.243188595864922e-05,1.8130833268514834e-05,4.979380173608661e-05,2.347470035601873e-05,0.006656292360275984,0.09408606588840485,0.02932278998196125,0.20816706120967865,0.0035890655126422644,0.002557888627052307,,,944
,,,,,,,,,,,,,,,,,,,,0.0009999383779245895,945
15,0.13727149367332458,0.034227218478918076,0.0045865559950470924,0.27897393703460693,7.035578892100602e-05,2.1169653336983174e-05,7.695417298236862e-05,1.1084555808338337e-05,0.00016805027553346008,1.5257894119713455e-05,9.724115807330236e-05,1.3276612662593834e-05,0.005505563225597143,0.1003173366189003,0.026492010802030563,0.2335163652896881,0.0023697984870523214,0.0021133869886398315,,,1007
,,,,,,,,,,,,,,,,,,,,0.0009999298879706019,1008
16,0.13109633326530457,0.03899693116545677,0.004796040244400501,0.31292015314102173,4.381201870273799e-05,2.615108860481996e-05,5.7602665037848055e-05,1.4065523828321602e-05,4.180375981377438e-05,1.4387062947207596e-05,4.3581203499343246e-05,1.8130063835997134e-05,0.004862248431891203,0.09505543857812881,0.027667874470353127,0.2714868187904358,0.0013515795581042767,0.0018996502039954066,,,1070
,,,,,,,,,,,,,,,,,,,,0.0009999208503305064,1071
17,0.14289893209934235,0.04267682880163193,0.005164336413145065,0.34580767154693604,7.642064156243578e-05,3.54451040038839e-05,0.0001253157970495522,1.9730987332877703e-05,7.800265302648768e-05,3.5596844099927694e-05,7.02711840858683e-05,2.7823540222016163e-05,0.006668255664408207,0.10146508365869522,0.028349852189421654,0.3022363483905792,0.003692452097311616,0.002254677237942815,,,1133
,,,,,,,,,,,,,,,,,,,,0.000999911265014214,1134
18,0.1259078085422516,0.048926644027233124,0.005684022791683674,0.38788658380508423,6.555813160957769e-05,1.5124743185879197e-05,0.00017125459271483123,1.0700498023652472e-05,6.92738321959041e-05,1.1104386430815794e-05,7.582874968647957e-05,1.4685262613056693e-05,0.005027368199080229,0.09213525056838989,0.024667231366038322,0.3299861550331116,0.0023957369849085808,0.0012486950727179646,,,1196
,,,,,,,,,,,,,,,,,,,,0.0009999011320322364,1197
19,0.13356857001781464,0.05814523994922638,0.006202087737619877,0.4246128499507904,0.00014763785293325782,1.700910070212558e-05,0.00021056266268715262,1.3771693375019822e-05,0.0001726769405649975,1.1953507055295631e-05,0.00018155104771722108,1.3096490874886513e-05,0.004991155117750168,0.09814926981925964,0.02473066747188568,0.351541668176651,0.0038970732130110264,0.0010321935405954719,,,1259
,,,,,,,,,,,,,,,,,,,,0.0009998904513956852,1260
20,0.14301368594169617,0.06510192155838013,0.006971737835556269,0.47149643301963806,5.022659752285108e-05,2.052440686384216e-05,5.321731441654265e-05,1.7521688278065994e-05,5.4730498959543183e-05,1.4647975149273407e-05,4.279064160073176e-05,1.5617169992765412e-05,0.005649501923471689,0.10673630237579346,0.02707436867058277,0.3809056580066681,0.0013247858732938766,0.0019594267942011356,,,1322
,,,,,,,,,,,,,,,,,,,,0.0009998792231162735,1323
21,0.12999720871448517,0.06795980781316757,0.0076110935769975185,0.5042690634727478,4.9627073167357594e-05,1.6847357983351685e-05,4.278082633391023e-05,9.999494977819268e-06,5.2369534387253225e-05,1.7026632121996954e-05,3.728488809429109e-05,1.1285755135759246e-05,0.004789811093360186,0.09798842668533325,0.024415230378508568,0.40582314133644104,0.0014237203868106008,0.001142794033512473,,,1385
,,,,,,,,,,,,,,,,,,,,0.000999867447206314,1386
22,0.13095857203006744,0.0720180869102478,0.008296526968479156,0.5341250896453857,4.997150972485542e-05,1.7065518477465957e-05,5.298373071127571e-05,8.89414604898775e-06,7.377922156592831e-05,1.041010364133399e-05,5.8772333431988955e-05,1.2426655302988365e-05,0.004853761289268732,0.09408171474933624,0.028165709227323532,0.4313522279262543,0.0020453487522900105,0.0015277279308065772,2.118065118789673,,1448
,,,,,,,,,,,,,,,,,,,,0.000999855123678721,1449
