epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
,,,,,,0.001,0
0,7.9749250411987305,0.0004854029684793204,0.1663537472486496,0.49281829595565796,7.315757751464844,,99
,,,,,,0.001,100
1,0.8642224669456482,0.001802458195015788,0.21365711092948914,0.09221357107162476,0.5583518147468567,,199
,,,,,,0.001,200
2,0.5036199688911438,0.004840160720050335,0.21022407710552216,0.0077807968482375145,0.28561505675315857,,299
,,,,,,0.001,300
3,0.4819612205028534,0.007386196870356798,0.21166157722473145,0.008073984645307064,0.2622256278991699,,399
,,,,,,0.001,400
4,0.38946694135665894,0.009869624860584736,0.21281440556049347,0.0032344218343496323,0.1734180897474289,,499
,,,,,,0.001,500
5,0.3906712830066681,0.01283475011587143,0.2115822583436966,0.00439427699893713,0.17469476163387299,,599
,,,,,,0.001,600
6,0.359089732170105,0.01589992083609104,0.21539306640625,0.004838712513446808,0.13885799050331116,,699
,,,,,,0.001,700
7,0.42909857630729675,0.018321169540286064,0.2114286869764328,0.006415223702788353,0.2112545669078827,,799
,,,,,,0.001,800
8,0.34384045004844666,0.02086114138364792,0.21635644137859344,0.004830230493098497,0.12265368551015854,,899
,,,,,,0.001,900
9,0.361044704914093,0.023698778823018074,0.21685783565044403,0.004591319710016251,0.13959558308124542,,999
,,,,,,0.001,1000
10,0.3316710591316223,0.026523321866989136,0.2184886485338211,0.004520735703408718,0.10866164416074753,,1099
,,,,,,0.001,1100
11,0.3692432940006256,0.028448697179555893,0.21736034750938416,0.005775373429059982,0.14610761404037476,,1199
,,,,,,0.001,1200
12,0.30559849739074707,0.03028026968240738,0.21959662437438965,0.004152801353484392,0.08184907585382462,,1299
,,,,,,0.001,1300
13,0.3169688284397125,0.03184850141406059,0.21741171181201935,0.00445793429389596,0.09509909898042679,,1399
,,,,,,0.001,1400
14,0.3386031687259674,0.03392812982201576,0.22010180354118347,0.005411496385931969,0.113089919090271,,1499
,,,,,,0.001,1500
