t,v_obs,v_pred,w_pred,epsilon_pred,a_pred,epsilon_true,a_true
0.000000e+00,-1.037651e+00,-9.999987e-01,9.998513e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
1.672241e-01,-1.190115e+00,-1.158198e+00,-1.190834e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
3.344482e-01,-1.381580e+00,-1.369159e+00,1.726840e-02,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
5.016723e-01,-1.480256e+00,-1.547153e+00,1.981147e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
6.688963e-01,-1.608864e+00,-1.643121e+00,3.451357e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
8.361204e-01,-1.737950e+00,-1.700397e+00,4.427634e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
1.003345e+00,-1.802955e+00,-1.742071e+00,5.205853e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
1.170569e+00,-1.845835e+00,-1.774217e+00,5.903770e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
1.337793e+00,-1.884637e+00,-1.798594e+00,6.470842e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
1.505017e+00,-1.830102e+00,-1.816284e+00,6.874177e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
1.672241e+00,-1.885253e+00,-1.828343e+00,7.131836e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
1.839465e+00,-1.876599e+00,-1.835794e+00,7.278357e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
2.006689e+00,-1.890900e+00,-1.839543e+00,7.343500e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
2.173913e+00,-1.739534e+00,-1.840349e+00,7.348157e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
2.341137e+00,-1.958441e+00,-1.838816e+00,7.306136e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
2.508361e+00,-1.766681e+00,-1.835420e+00,7.226613e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
2.675585e+00,-1.877347e+00,-1.830531e+00,7.116005e-01,5.232778e-06,7.847429e-01,8.000000e-02,7.000000e-01
