x,y,t,u_pred,u_true,v_pred,v_true
0.000000e+00,0.000000e+00,0.000000e+00,9.997035e-01,9.997491e-01,9.352835e-04,1.013067e-02
0.000000e+00,0.000000e+00,1.111111e-01,9.996611e-01,1.003723e+00,9.368630e-04,-1.200426e-02
0.000000e+00,0.000000e+00,2.222222e-01,9.996615e-01,9.891321e-01,9.373995e-04,3.527478e-04
0.000000e+00,0.000000e+00,3.333333e-01,9.996634e-01,9.795891e-01,9.374591e-04,1.623878e-03
0.000000e+00,0.000000e+00,4.444444e-01,9.996656e-01,9.965134e-01,9.373995e-04,-5.137484e-03
0.000000e+00,0.000000e+00,5.555556e-01,9.996681e-01,9.978181e-01,9.373995e-04,-6.704606e-03
0.000000e+00,0.000000e+00,6.666667e-01,9.996847e-01,9.789193e-01,9.372206e-04,-3.896447e-03
0.000000e+00,0.000000e+00,7.777778e-01,9.996946e-01,9.861414e-01,9.373398e-04,8.479612e-04
0.000000e+00,0.000000e+00,8.888889e-01,9.996946e-01,1.022004e+00,9.368630e-04,5.252909e-03
0.000000e+00,0.000000e+00,1.000000e+00,9.996954e-01,9.947966e-01,9.368928e-04,2.290803e-03
0.000000e+00,5.263158e-02,0.000000e+00,9.997085e-01,1.023275e+00,9.339722e-04,5.683999e-03
0.000000e+00,5.263158e-02,1.111111e-01,9.996624e-01,9.890335e-01,9.366544e-04,2.605045e-02
0.000000e+00,5.263158e-02,2.222222e-01,9.996611e-01,9.860989e-01,9.373697e-04,-4.794102e-03
0.000000e+00,5.263158e-02,3.333333e-01,9.996631e-01,1.002045e+00,9.372802e-04,-6.583257e-04
0.000000e+00,5.263158e-02,4.444444e-01,9.996655e-01,9.979024e-01,9.373995e-04,4.682163e-03
0.000000e+00,5.263158e-02,5.555556e-01,9.996688e-01,9.956037e-01,9.374293e-04,3.348806e-03
0.000000e+00,5.263158e-02,6.666667e-01,9.996889e-01,1.004485e+00,9.372802e-04,-1.194465e-02
0.000000e+00,5.263158e-02,7.777778e-01,9.996972e-01,9.936160e-01,9.372802e-04,-2.898747e-03
0.000000e+00,5.263158e-02,8.888889e-01,9.996993e-01,9.870568e-01,9.368034e-04,1.112416e-02
0.000000e+00,5.263158e-02,1.000000e+00,9.997006e-01,9.959174e-01,9.368034e-04,-5.348061e-03
0.000000e+00,1.052632e-01,0.000000e+00,9.996999e-01,9.962962e-01,9.331079e-04,1.882795e-02
0.000000e+00,1.052632e-01,1.111111e-01,9.996663e-01,1.014943e+00,9.364458e-04,-2.538381e-02
0.000000e+00,1.052632e-01,2.222222e-01,9.996608e-01,9.893135e-01,9.373100e-04,2.581847e-02
0.000000e+00,1.052632e-01,3.333333e-01,9.996628e-01,1.002090e+00,9.371610e-04,1.907467e-02
0.000000e+00,1.052632e-01,4.444444e-01,9.996654e-01,1.010236e+00,9.374293e-04,1.481173e-02
0.000000e+00,1.052632e-01,5.555556e-01,9.996709e-01,1.000936e+00,9.373100e-04,4.020145e-03
0.000000e+00,1.052632e-01,6.666667e-01,9.996936e-01,1.002534e+00,9.372802e-04,-1.109233e-02
0.000000e+00,1.052632e-01,7.777778e-01,9.997000e-01,1.007837e+00,9.373398e-04,3.703418e-03
0.000000e+00,1.052632e-01,8.888889e-01,9.997051e-01,9.884906e-01,9.368630e-04,1.629471e-02
0.000000e+00,1.052632e-01,1.000000e+00,9.997068e-01,9.897571e-01,9.367140e-04,-3.771774e-03
0.000000e+00,1.578947e-01,0.000000e+00,9.996889e-01,9.992447e-01,9.325715e-04,6.827923e-04
0.000000e+00,1.578947e-01,1.111111e-01,9.996754e-01,9.859179e-01,9.363564e-04,6.171069e-03
0.000000e+00,1.578947e-01,2.222222e-01,9.996608e-01,9.780450e-01,9.372504e-04,-5.346154e-03
0.000000e+00,1.578947e-01,3.333333e-01,9.996628e-01,9.915945e-01,9.373100e-04,-5.857265e-03
0.000000e+00,1.578947e-01,4.444444e-01,9.996657e-01,1.012217e+00,9.372504e-04,-1.671408e-02
0.000000e+00,1.578947e-01,5.555556e-01,9.996747e-01,1.013188e+00,9.373398e-04,-5.012892e-03
0.000000e+00,1.578947e-01,6.666667e-01,9.996976e-01,9.865295e-01,9.371908e-04,1.894256e-02
0.000000e+00,1.578947e-01,7.777778e-01,9.997031e-01,9.886268e-01,9.372802e-04,8.833277e-04
