x,t,u_pred,u_true,error
0.000000e+00,0.000000e+00,-8.910149e-04,1.961975e-02,2.051077e-02
0.000000e+00,2.040816e-02,-9.731948e-04,-2.574561e-02,2.477241e-02
0.000000e+00,4.081633e-02,-1.006760e-03,-9.699772e-03,8.693012e-03
0.000000e+00,6.122449e-02,-1.012355e-03,2.177211e-02,2.278446e-02
0.000000e+00,8.163265e-02,-1.004845e-03,-1.119443e-02,1.018958e-02
0.000000e+00,1.020408e-01,-9.935126e-04,1.986505e-03,2.980017e-03
0.000000e+00,1.224490e-01,-9.841621e-04,1.034245e-02,1.132661e-02
0.000000e+00,1.428571e-01,-9.794012e-04,8.702871e-04,1.849688e-03
0.000000e+00,1.632653e-01,-9.801760e-04,-1.761167e-03,7.809909e-04
0.000000e+00,1.836735e-01,-9.861439e-04,-2.278564e-02,2.179950e-02
0.000000e+00,2.040816e-01,-9.964332e-04,-1.043045e-02,9.434019e-03
0.000000e+00,2.244898e-01,-1.009509e-03,5.287412e-03,6.296921e-03
0.000000e+00,2.448980e-01,-1.023822e-03,-1.449522e-02,1.347140e-02
0.000000e+00,2.653061e-01,-1.037970e-03,6.243352e-03,7.281322e-03
0.000000e+00,2.857143e-01,-1.050510e-03,-1.300345e-02,1.195294e-02
0.000000e+00,3.061225e-01,-1.060560e-03,4.104352e-04,1.470996e-03
0.000000e+00,3.265306e-01,-1.067415e-03,-1.472843e-02,1.366102e-02
0.000000e+00,3.469388e-01,-1.070380e-03,-1.704494e-03,6.341137e-04
0.000000e+00,3.673469e-01,-1.069486e-03,-9.726916e-03,8.657429e-03
0.000000e+00,3.877551e-01,-1.064889e-03,-2.928848e-03,1.863959e-03
0.000000e+00,4.081632e-01,-1.056954e-03,1.128747e-02,1.234442e-02
0.000000e+00,4.285714e-01,-1.046225e-03,-8.077107e-03,7.030882e-03
0.000000e+00,4.489796e-01,-1.033336e-03,-3.996957e-03,2.963621e-03
0.000000e+00,4.693877e-01,-1.019202e-03,5.360564e-03,6.379766e-03
0.000000e+00,4.897959e-01,-1.004428e-03,-3.476091e-04,6.568185e-04
0.000000e+00,5.102041e-01,-9.898841e-04,-5.338548e-03,4.348664e-03
0.000000e+00,5.306122e-01,-9.766370e-04,9.792643e-03,1.076928e-02
0.000000e+00,5.510204e-01,-9.650812e-04,2.004504e-02,2.101012e-02
0.000000e+00,5.714286e-01,-9.564236e-04,5.285302e-03,6.241726e-03
