t,x_obs,y_obs,z_obs,x_pred,y_pred,z_pred,sigma_pred,rho_pred,beta_pred,sigma_true,rho_true,beta_true
0.000000e+00,-8.259597e+00,7.253788e+00,2.669212e+01,-7.999921e+00,6.998545e+00,2.699893e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.344482e-03,-6.068027e+00,7.207252e+00,2.468684e+01,-6.840681e+00,6.928134e+00,2.602581e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
6.688963e-03,-5.196323e+00,6.388316e+00,2.480524e+01,-5.350090e+00,6.839915e+00,2.489517e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.003344e-02,-4.227533e+00,6.560325e+00,2.404671e+01,-4.058964e+00,6.732533e+00,2.375354e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.337793e-02,-2.475172e+00,6.543967e+00,2.295885e+01,-3.090984e+00,6.606632e+00,2.274626e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
1.672241e-02,-2.593048e+00,5.662014e+00,2.295724e+01,-2.269468e+00,6.465993e+00,2.193715e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.006689e-02,-8.232978e-01,5.336227e+00,2.177759e+01,-1.491127e+00,6.318283e+00,2.130262e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.341137e-02,-1.302477e+00,5.267745e+00,2.122460e+01,-7.585441e-01,6.174848e+00,2.077859e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
2.675585e-02,-7.407404e-01,5.616074e+00,2.047756e+01,-1.003622e-01,6.049138e+00,2.030300e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.010033e-02,5.177481e-01,5.800460e+00,1.918883e+01,4.757107e-01,5.954117e+00,1.983500e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.344481e-02,1.027828e+00,5.852890e+00,1.962692e+01,9.839631e-01,5.899808e+00,1.935854e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
3.678929e-02,1.529852e+00,4.963188e+00,1.876944e+01,1.443977e+00,5.892052e+00,1.887858e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
4.013378e-02,1.340727e+00,5.515723e+00,1.784325e+01,1.868448e+00,5.932803e+00,1.841305e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
4.347826e-02,1.183256e+00,6.549074e+00,1.856576e+01,2.260849e+00,6.021419e+00,1.798293e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
4.682274e-02,2.972135e+00,5.343104e+00,1.716923e+01,2.619346e+00,6.156154e+00,1.760402e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
5.016722e-02,2.571546e+00,5.884151e+00,1.646954e+01,2.942161e+00,6.335275e+00,1.728335e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
5.351171e-02,3.692393e+00,6.628346e+00,1.779282e+01,3.231390e+00,6.557651e+00,1.702006e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
5.685619e-02,4.067512e+00,6.002821e+00,1.630432e+01,3.494467e+00,6.822952e+00,1.680870e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
6.020067e-02,3.357079e+00,7.305936e+00,1.555452e+01,3.743949e+00,7.131522e+00,1.664244e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
6.354515e-02,4.569963e+00,7.015960e+00,1.603109e+01,3.996205e+00,7.484135e+00,1.651539e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
6.688963e-02,5.084426e+00,7.670921e+00,1.653620e+01,4.269172e+00,7.881638e+00,1.642367e+01,9.851724e+00,2.080567e+01,2.654599e+00,1.000000e+01,2.800000e+01,2.666667e+00
