epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
,,,,,,0.001,0
0,18.99150848388672,0.0004678904660977423,0.22114670276641846,0.457198828458786,18.31316566467285,,99
,,,,,,0.001,100
1,0.6359711289405823,0.0032534205820411444,0.21178193390369415,0.028769345954060555,0.3954198658466339,,199
,,,,,,0.001,200
2,0.4661918878555298,0.007348065264523029,0.21273669600486755,0.004590081050992012,0.2488652616739273,,299
,,,,,,0.001,300
3,0.37776756286621094,0.010607486590743065,0.2133386731147766,0.004277050495147705,0.16015176475048065,,399
,,,,,,0.001,400
4,0.4403153955936432,0.013350202701985836,0.20696565508842468,0.006026176270097494,0.22732345759868622,,499
,,,,,,0.001,500
5,0.5115039348602295,0.015913253650069237,0.2106299251317978,0.00626186840236187,0.29461199045181274,,599
,,,,,,0.001,600
6,0.4065801799297333,0.01898512803018093,0.21672245860099792,0.007099016569554806,0.18275880813598633,,699
,,,,,,0.001,700
7,0.4166044294834137,0.022158533334732056,0.21408459544181824,0.005599709693342447,0.19692012667655945,,799
,,,,,,0.001,800
8,0.3495149314403534,0.024697260931134224,0.21632292866706848,0.004575631581246853,0.1286163181066513,,899
,,,,,,0.001,900
9,0.3343775272369385,0.027000414207577705,0.21649721264839172,0.004872545599937439,0.11300776153802872,,999
,,,,,,0.001,1000
10,0.3185746967792511,0.029200304299592972,0.21794399619102478,0.004708916414529085,0.09592174738645554,,1099
,,,,,,0.001,1100
11,0.3522683382034302,0.03105190396308899,0.21851350367069244,0.0064805252477526665,0.12727434933185577,,1199
,,,,,,0.001,1200
12,0.32737672328948975,0.03299907594919205,0.218232199549675,0.00693124532699585,0.1022133082151413,,1299
,,,,,,0.001,1300
13,0.3325860798358917,0.03479843586683273,0.21987628936767578,0.00596766360104084,0.10674215108156204,,1399
,,,,,,0.001,1400
14,0.29626405239105225,0.03653514012694359,0.21952085196971893,0.0035754553973674774,0.07316779345273972,,1499
,,,,,,0.001,1500
15,0.3088115155696869,0.037581805139780045,0.2195442169904709,0.004076342564076185,0.08519098162651062,,1599
,,,,,,0.001,1600
16,0.2909051477909088,0.039175812155008316,0.220336452126503,0.0031107573304325342,0.06745793670415878,,1699
,,,,,,0.001,1700
17,0.29738306999206543,0.04042351618409157,0.22001132369041443,0.003736924845725298,0.07363491505384445,,1799
,,,,,,0.001,1800
