t,x_obs,y_obs,x_pred,y_pred,beta_pred,beta_true
0.000000e+00,4.089372e+01,8.731737e+00,3.990978e+01,1.106160e+01,2.029552e-02,2.000000e-02
5.025126e-03,4.400390e+01,8.468934e+00,4.278798e+01,1.092899e+01,2.029552e-02,2.000000e-02
1.005025e-02,4.711879e+01,8.158671e+00,4.587458e+01,1.091120e+01,2.029552e-02,2.000000e-02
1.507538e-02,5.106303e+01,7.873502e+00,4.918727e+01,1.098031e+01,2.029552e-02,2.000000e-02
2.010050e-02,5.465407e+01,9.613420e+00,5.272021e+01,1.112689e+01,2.029552e-02,2.000000e-02
2.512563e-02,6.125677e+01,8.267142e+00,5.645436e+01,1.135386e+01,2.029552e-02,2.000000e-02
3.015075e-02,6.503246e+01,8.899274e+00,6.036539e+01,1.167254e+01,2.029552e-02,2.000000e-02
3.517588e-02,6.968175e+01,9.250281e+00,6.442517e+01,1.210046e+01,2.029552e-02,2.000000e-02
4.020100e-02,7.550191e+01,1.034996e+01,6.859344e+01,1.265974e+01,2.029552e-02,2.000000e-02
4.522613e-02,8.176952e+01,1.031139e+01,7.280322e+01,1.337595e+01,2.029552e-02,2.000000e-02
5.025126e-02,8.593080e+01,1.165719e+01,7.695262e+01,1.427660e+01,2.029552e-02,2.000000e-02
5.527638e-02,9.414106e+01,1.258036e+01,8.091211e+01,1.538965e+01,2.029552e-02,2.000000e-02
6.030151e-02,9.913869e+01,1.401814e+01,8.453498e+01,1.674156e+01,2.029552e-02,2.000000e-02
6.532663e-02,1.027000e+02,1.675603e+01,8.765367e+01,1.835522e+01,2.029552e-02,2.000000e-02
7.035176e-02,1.071009e+02,1.968749e+01,9.007346e+01,2.024745e+01,2.029552e-02,2.000000e-02
7.537689e-02,1.089141e+02,2.189406e+01,9.159086e+01,2.242573e+01,2.029552e-02,2.000000e-02
8.040201e-02,1.080081e+02,2.544314e+01,9.203083e+01,2.488365e+01,2.029552e-02,2.000000e-02
8.542714e-02,1.072320e+02,2.987534e+01,9.126757e+01,2.759361e+01,2.029552e-02,2.000000e-02
9.045226e-02,1.039326e+02,3.490330e+01,8.923089e+01,3.049681e+01,2.029552e-02,2.000000e-02
9.547739e-02,9.759948e+01,3.979320e+01,8.593092e+01,3.349332e+01,2.029552e-02,2.000000e-02
1.005025e-01,9.227225e+01,4.351555e+01,8.149564e+01,3.643952e+01,2.029552e-02,2.000000e-02
1.055276e-01,8.009280e+01,4.768330e+01,7.617361e+01,3.916209e+01,2.029552e-02,2.000000e-02
1.105528e-01,7.167828e+01,5.156421e+01,7.028746e+01,4.148911e+01,2.029552e-02,2.000000e-02
1.155779e-01,6.128451e+01,5.323314e+01,6.417540e+01,4.328510e+01,2.029552e-02,2.000000e-02
1.206030e-01,5.323948e+01,5.429240e+01,5.814955e+01,4.447257e+01,2.029552e-02,2.000000e-02
1.256281e-01,4.605084e+01,5.510410e+01,5.246408e+01,4.503278e+01,2.029552e-02,2.000000e-02
1.306533e-01,3.859168e+01,5.304221e+01,4.728811e+01,4.499279e+01,2.029552e-02,2.000000e-02
1.356784e-01,3.539749e+01,5.245007e+01,4.270144e+01,4.441096e+01,2.029552e-02,2.000000e-02
1.407035e-01,3.121542e+01,4.951490e+01,3.872206e+01,4.336685e+01,2.029552e-02,2.000000e-02
1.457286e-01,2.685674e+01,4.712605e+01,3.533722e+01,4.195383e+01,2.029552e-02,2.000000e-02
1.507538e-01,2.407346e+01,4.402699e+01,3.251501e+01,4.027011e+01,2.029552e-02,2.000000e-02
1.557789e-01,2.203909e+01,4.076570e+01,3.020514e+01,3.840870e+01,2.029552e-02,2.000000e-02
1.608040e-01,2.113037e+01,3.838037e+01,2.834539e+01,3.644901e+01,2.029552e-02,2.000000e-02
1.658291e-01,1.651567e+01,3.577031e+01,2.687367e+01,3.445341e+01,2.029552e-02,2.000000e-02
1.708543e-01,1.791109e+01,3.326269e+01,2.573687e+01,3.246819e+01,2.029552e-02,2.000000e-02
1.758794e-01,1.862674e+01,3.055960e+01,2.489352e+01,3.052673e+01,2.029552e-02,2.000000e-02
1.809045e-01,1.773123e+01,2.756961e+01,2.431205e+01,2.865310e+01,2.029552e-02,2.000000e-02
1.859297e-01,1.709114e+01,2.577981e+01,2.396808e+01,2.686490e+01,2.029552e-02,2.000000e-02
1.909548e-01,1.543281e+01,2.377517e+01,2.384229e+01,2.517502e+01,2.029552e-02,2.000000e-02
1.959799e-01,1.608658e+01,2.280616e+01,2.391892e+01,2.359270e+01,2.029552e-02,2.000000e-02
2.010050e-01,1.703090e+01,2.028987e+01,2.418462e+01,2.212398e+01,2.029552e-02,2.000000e-02
2.060302e-01,1.781715e+01,1.959621e+01,2.462800e+01,2.077211e+01,2.029552e-02,2.000000e-02
2.110553e-01,1.854629e+01,1.756064e+01,2.524013e+01,1.953779e+01,2.029552e-02,2.000000e-02
2.160804e-01,2.211982e+01,1.580028e+01,2.601522e+01,1.841962e+01,2.029552e-02,2.000000e-02
2.211055e-01,1.948580e+01,1.467949e+01,2.695144e+01,1.741453e+01,2.029552e-02,2.000000e-02
2.261307e-01,2.256989e+01,1.320843e+01,2.805064e+01,1.651821e+01,2.029552e-02,2.000000e-02
2.311558e-01,2.300716e+01,1.309130e+01,2.931732e+01,1.572569e+01,2.029552e-02,2.000000e-02
2.361809e-01,2.368992e+01,1.261075e+01,3.075677e+01,1.503165e+01,2.029552e-02,2.000000e-02
2.412060e-01,2.729345e+01,1.232221e+01,3.237346e+01,1.443094e+01,2.029552e-02,2.000000e-02
2.462312e-01,2.994707e+01,1.030195e+01,3.417027e+01,1.391889e+01,2.029552e-02,2.000000e-02
2.512563e-01,2.986102e+01,1.055691e+01,3.614910e+01,1.349154e+01,2.029552e-02,2.000000e-02
