x,t,u_pred,u_true,error
0.000000e+00,0.000000e+00,-8.695540e-04,0.000000e+00,8.695540e-04
0.000000e+00,2.040816e-02,-8.718190e-04,0.000000e+00,8.718190e-04
0.000000e+00,4.081633e-02,-8.761403e-04,0.000000e+00,8.761403e-04
0.000000e+00,6.122449e-02,-8.803126e-04,0.000000e+00,8.803126e-04
0.000000e+00,8.163265e-02,-8.865115e-04,0.000000e+00,8.865115e-04
0.000000e+00,1.020408e-01,-8.987007e-04,0.000000e+00,8.987007e-04
0.000000e+00,1.224490e-01,-9.216485e-04,0.000000e+00,9.216485e-04
0.000000e+00,1.428571e-01,-9.585735e-04,0.000000e+00,9.585735e-04
0.000000e+00,1.632653e-01,-1.010042e-03,0.000000e+00,1.010042e-03
0.000000e+00,1.836735e-01,-1.073998e-03,0.000000e+00,1.073998e-03
0.000000e+00,2.040816e-01,-1.144868e-03,0.000000e+00,1.144868e-03
0.000000e+00,2.244898e-01,-1.215917e-03,0.000000e+00,1.215917e-03
0.000000e+00,2.448980e-01,-1.280051e-03,0.000000e+00,1.280051e-03
0.000000e+00,2.653061e-01,-1.330507e-03,0.000000e+00,1.330507e-03
0.000000e+00,2.857143e-01,-1.363110e-03,0.000000e+00,1.363110e-03
0.000000e+00,3.061225e-01,-1.375657e-03,0.000000e+00,1.375657e-03
0.000000e+00,3.265306e-01,-1.368952e-03,0.000000e+00,1.368952e-03
0.000000e+00,3.469388e-01,-1.345676e-03,0.000000e+00,1.345676e-03
0.000000e+00,3.673469e-01,-1.309943e-03,0.000000e+00,1.309943e-03
0.000000e+00,3.877551e-01,-1.266908e-03,0.000000e+00,1.266908e-03
0.000000e+00,4.081632e-01,-1.222831e-03,0.000000e+00,1.222831e-03
0.000000e+00,4.285714e-01,-1.182598e-03,0.000000e+00,1.182598e-03
0.000000e+00,4.489796e-01,-1.151454e-03,0.000000e+00,1.151454e-03
0.000000e+00,4.693877e-01,-1.132738e-03,0.000000e+00,1.132738e-03
0.000000e+00,4.897959e-01,-1.128804e-03,0.000000e+00,1.128804e-03
0.000000e+00,5.102041e-01,-1.139265e-03,-0.000000e+00,1.139265e-03
0.000000e+00,5.306122e-01,-1.161676e-03,-0.000000e+00,1.161676e-03
0.000000e+00,5.510204e-01,-1.191210e-03,-0.000000e+00,1.191210e-03
0.000000e+00,5.714286e-01,-1.223129e-03,-0.000000e+00,1.223129e-03
0.000000e+00,5.918368e-01,-1.251739e-03,-0.000000e+00,1.251739e-03
0.000000e+00,6.122449e-01,-1.272958e-03,-0.000000e+00,1.272958e-03
0.000000e+00,6.326531e-01,-1.284641e-03,-0.000000e+00,1.284641e-03
0.000000e+00,6.530612e-01,-1.287174e-03,-0.000000e+00,1.287174e-03
0.000000e+00,6.734694e-01,-1.282227e-03,-0.000000e+00,1.282227e-03
0.000000e+00,6.938776e-01,-1.272005e-03,-0.000000e+00,1.272005e-03
0.000000e+00,7.142857e-01,-1.258623e-03,-0.000000e+00,1.258623e-03
0.000000e+00,7.346939e-01,-1.244318e-03,-0.000000e+00,1.244318e-03
0.000000e+00,7.551020e-01,-1.231146e-03,-0.000000e+00,1.231146e-03
0.000000e+00,7.755102e-01,-1.221609e-03,-0.000000e+00,1.221609e-03
0.000000e+00,7.959183e-01,-1.219850e-03,-0.000000e+00,1.219850e-03
0.000000e+00,8.163266e-01,-1.230371e-03,-0.000000e+00,1.230371e-03
0.000000e+00,8.367347e-01,-1.257431e-03,-0.000000e+00,1.257431e-03
0.000000e+00,8.571429e-01,-1.301837e-03,-0.000000e+00,1.301837e-03
0.000000e+00,8.775510e-01,-1.360070e-03,-0.000000e+00,1.360070e-03
0.000000e+00,8.979592e-01,-1.419794e-03,-0.000000e+00,1.419794e-03
0.000000e+00,9.183673e-01,-1.460594e-03,-0.000000e+00,1.460594e-03
0.000000e+00,9.387755e-01,-1.450580e-03,-0.000000e+00,1.450580e-03
0.000000e+00,9.591837e-01,-1.352352e-03,-0.000000e+00,1.352352e-03
0.000000e+00,9.795918e-01,-1.134944e-03,-0.000000e+00,1.134944e-03
0.000000e+00,1.000000e+00,-7.997570e-04,-0.000000e+00,7.997570e-04
2.040816e-02,0.000000e+00,6.316192e-02,6.407022e-02,9.083003e-04
2.040816e-02,2.040816e-02,6.302752e-02,6.393858e-02,9.110644e-04
2.040816e-02,4.081633e-02,6.263591e-02,6.354421e-02,9.082928e-04
2.040816e-02,6.122449e-02,6.198852e-02,6.288872e-02,9.001978e-04
2.040816e-02,8.163265e-02,6.108375e-02,6.197480e-02,8.910485e-04
2.040816e-02,1.020408e-01,5.991994e-02,6.080621e-02,8.862726e-04
2.040816e-02,1.224490e-01,5.849661e-02,5.938777e-02,8.911528e-04
2.040816e-02,1.428571e-01,5.681514e-02,5.772528e-02,9.101406e-04
2.040816e-02,1.632653e-01,5.488031e-02,5.582558e-02,9.452738e-04
2.040816e-02,1.836735e-01,5.270012e-02,5.369649e-02,9.963699e-04
2.040816e-02,2.040816e-01,5.028679e-02,5.134675e-02,1.059964e-03
2.040816e-02,2.244898e-01,4.765486e-02,4.878601e-02,1.131158e-03
